"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"19","Aggravated Battery","901 E. 58th St. ","Mitchell ER","8/23/2014","18:27","Individual being escorted from ER after causing a disturbance, resisted and struck UCPD officer","Arrest","D00759","8/23/2013",NA,"18:25",NA,"BATTERY"
"20","Aggravated Battery / Domestic","5815 S. Maryland ","Mitchell Hospital","1/29/2017","12:23","Ex-Boyfriend strangled patient with a telephone cord and struck her in the chest with his fist before fleeing  / Subsequent to follow-up investigation, victim declined to prosecute known suspect","Ex. Cleared","17-00084","1/29/2017",NA,"12:20",NA,"BATTERY"
"21","Aggravated Battery / Other Dangerous Weapon","1380 E. 53rd St. ","Public Way","10/29/2016","19:57","Individual walking on the sidewalk off-campus was struck on the left arm and hip by a missile fired from a paintball gun / Suspect taken into custody by UCPD officers after a brief chase on foot / Paintball gun recovered / Victim reported no physical injuries","Arrest","16-00962","10/29/2016",NA,"19:53",NA,"WEAPON"
"22","Aggravated Battery to Police Officer","901 E. 58th St. ","Mitchell ER","6/2/2014","0:14","Unruly, combative patient physically assaulted a UCPD officer resulting in an injury","Arrest","D00512","6/2/2014",NA,"0:14",NA,"BATTERY"
"23","Aggravated Robbery","5840 S. Maryland ","Parking Structure","4/7/2017","3:20","Individual reported an unknown person placed an object to his back and took a Samsung Tablet before fleeing / As a result of the follow-up investigation the complainant admitted to UCPD detectives that no crime occurred","Unfounded","17-00275","4/6/2017",NA,"14:35",NA,"ROBBERY"
"24","Aggravated Robbery","5000 S. Drexel ","Public Way","2/12/2018","15:38","Two suspects, one implying a handgun, struck victim as he walked on the sidewalk off campus and took his cell phone and keys / UCPD officer observed the crime and arrested the two suspects who were charged with robbery","Arrest","18-00147","2/12/2018",NA,"15:30",NA,"ROBBERY"
"25","Armed Robbery","1028 E. 62nd St. ","Public Way","4/27/2017","17:11","Two unknown suspects armed with  handguns took property from two victims walking on the sidewalk off campus before fleeing southbound / UCPD officer located and detained two suspects / One suspect positively identified and placed under arrest","Arrest","17-00335","4/27/2017",NA,"17:08",NA,"ROBBERY"
"26","Armed Robbery","1427 E. 60th St. ","Public Way","7/7/2017","22:12","Two unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk before fleeing westbound on bicycles / Victim reported no physical injuries and declined medical attention","Open","17-00570","7/7/2017",NA,"22:00",NA,"ROBBERY"
"27","Armed Robbery","1023 E. 48th St. ","Public Way","11/5/2017","15:35","UCPD officer, on patrol, observed two subjects assaulting an individual on the sidewalk / Suspects fled upon seeing police / Suspects had taken victim's wallet and cell phone after striking him with a piece of wood / UCPD officers apprehended both suspects after a brief chase / Suspects charged with armed robbery","Arrest","17-00993","11/5/2017",NA,"15:35",NA,"ROBBERY"
"28","Armed Robbery","900 E. Midway Pl.",NA,"9/17/2015","0:55","Three unknown suspects, one armed with a handgun, took cell phones from two victims walking on Midway Pl. / Victims reported no injuries","Open","E00567","9/17/2015",NA,"0:50",NA,"ROBBERY"
"29","Armed Robbery","811 E. 54th St. ","Public Way","9/21/2017","22:00","Two suspects, one armed with a handgun, took property from two victims walking on the sidewalk off campus / Suspects fled southbound in the alley / UCPD officer detained two suspects on Cottage Grove between 59th & 60th St. / Victims identified the suspects / Handgun and victims' property recovered / Both suspects charged with armed robbery","Arrest","17-00794","9/21/2017",NA,"21:55",NA,"ROBBERY"
"30","Armed Robbery","5600 S. Kimbark ","Public Way","6/22/2016","16:24","Two unknown suspects, one armed with a handgun, took property from a person walking on the sidewalk off-campus / Victim reported no injuries","Open","16-00526","6/22/2016",NA,"16:20",NA,"ROBBERY"
"31","Armed Robbery","6000 S. University",NA,"5/19/2014","0:35","Three suspects, one armed with a handgun took a cell phone and a wallet from a victim walking on the sidewalk / Suspects arrested by UCPD / Victim's property was recovered","Arrest","D00463","5/19/2014",NA,"0:35",NA,"ROBBERY"
"32","Armed Robbery","1165 E. 61st St.",NA,"5/6/2014","18:24","Two males, one armed with a handgun followed a man into the vestibule of a private apartment building off campus / Suspects took an iPhone and wallet before fleeing on foot / Both suspects taken into custody by UCPD officers / Weapon recovered / Victim was not physically injured","Arrest","D00407","5/6/2014",NA,"18:20",NA,"ROBBERY"
"33","Armed Robbery","815 E. 59th St. ","Public Way","9/27/2015","0:05","Four unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / The victim reported no injuries","Open","E00597","9/27/2015",NA,"0:00",NA,"ROBBERY"
"34","Armed Robbery","900 E. 59th St. ","Public Way","9/11/2015","21:13","3-4 unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / Victim reported no injuries","Open","E00555","9/11/2015",NA,"21:00",NA,"ROBBERY"
"35","Arson by Fire","5730 S. Drexel ","Comer Hospital","5/29/2014","15:13","Fire in 1st floor washroom paper towel dispenser extinguished by CFD / Pre-teen child held for psychological examination at hospital / No injuries reported","Ex. Cleared","D00501","5/29/2014",NA,"15:00",NA,"ALARM"
"36","Assault","5700 S. Maryland ","CCD","11/2/2015","13:00","Individual threatened family members placing them in fear of physical harm / Arrested by UCPD","Arrest","E00731","11/2/2015",NA,"13:00",NA,"ASSAULT"
"37","Assault","5815 S. Maryland ","Mitchell Hospital","6/10/2016","11:29","Victim's boyfriend threatened her and placed her in fear of receiving bodily harm / Suspect left before UCPD officers arrived / Victim refused to prosecute","Ex. Cleared","16-00494","6/10/2016",NA,"11:10",NA,"ASSAULT"
"38","Assault","900 E. Midway Pl. ","Park Property","6/10/2017","15:08","Staff member attacked another staff member walking on Midway Pl. and was arrested by UCPD officers","Arrest","17-00501","6/10/2017",NA,"15:05",NA,"ASSAULT"
"39","Assault","5640 S. University ","Bartlett Commons","3/15/2015","19:48","During a verbal altercation one employee displayed an unopened pocket knife /  Complainant refused to press criminal charges","Ex. Cleared","E00183","3/15/2015",NA,"19:48",NA,"ASSAULT"
"40","Assault","5758 S. Maryland ","DCAM","3/18/2016","14:40","Staff member threatened with bodily harm by a co-worker","Open","16-00238","3/18/2016",NA,"14:40",NA,"ASSAULT"
"41","Assault","5640 S. University ","Bartlett","5/5/2016","17:51","During the course of a disagreement between two contract employees, one individual  was threatened with bodily harm by another / Victim refused to prosecute /","Ex. Cleared","16-00375","5/5/2016",NA,"17:50",NA,"ASSAULT"
"42","Assault","5815 S. Maryland ","Mitchell Hospital","8/7/2014","18:00","Disturbed, angry patient threatened staff member with bodily harm / Victim declined to prosecute","Ex. Cleared","D00724","8/7/2014",NA,"18:00",NA,"ASSAULT"
"43","Assault","6100 S. Woodlawn ","Public Way","7/8/2017","18:06","An unknown subject, described as being intoxicated, without provocation, attempted to strike a person with his fist but made no contact / Suspect ran off","Open","17-00571","7/8/2017",NA,"18:00",NA,"ASSAULT"
"44","Assault","5530 S. Ellis ","Ratner A.C.","12/20/2015","1:04","A staff member related that during the course of an argument another staff member placed him in fear of receiving bodily harm / No complaints signed as of this time","Open","E00844","12/20/2015",NA,"0:40",NA,"ASSAULT"
"45","Assault","5815 S. Maryland ","Mitchell Hospital","11/20/2017","18:42","Patient refused medical treatment and signed himself out of the hospital against physician's advice / Subject made threats to a staff member before leaving / Victim refused to press charges","Ex. Cleared","17-01051","11/20/2017",NA,"17:35",NA,"ASSAULT"
"46","Assault","5815 S. Maryland ","Mitchell Hospital","7/17/2017","13:03","Disorderly patient threatened a staff member with bodily harm / Victim declined prosecution","Ex. Cleared","17-00594","7/17/2017",NA,"12:55",NA,"ASSAULT"
"47","Assault","1155 E. 60th St.",NA,"4/21/2015","19:16","Individual threatened another with physical harm / No physical contact made","Open","E00257","4/20/2015",NA,"18:30",NA,"ASSAULT"
"48","Assault","6054 S. Drexel ","Parking Structure","2/21/2018","6:22","Victim, after parking vehicle, was placed in fear of receiving bodily harm from another motorist","Open","18-00176","2/21/2018",NA,"6:20",NA,"ASSAULT"
"49","Assault","5758 S. Maryland ","DCAM","1/20/2016","13:25","Individual made a statement placing victim in fear of bodily harm / Suspect fled before arrival of police","Open","16-00067","1/20/2016",NA,"9:30",NA,"ASSAULT"
"50","Assault","6100 S. Ellis ","Public Way","8/4/2017","0:14","Unknown subject yelled at individual standing on the sidewalk, placing individual in fear for his safety","Open","17-00642","8/4/2017",NA,"0:10",NA,"ASSAULT"
"51","Assault","6019 S. Ingleside ","Campus Housing","3/20/2017","15:20","An unauthorized individual sleeping in the building foyer threatened a tenant with bodily harm when asked to leave / Victim declined to prosecute","Ex. Cleared","17-00221","3/20/2017",NA,"7:50",NA,"ASSAULT"
"52","Assault","Ingleside between 60th & 61st",NA,"3/3/2015","20:40","Unknown male ran up to an individual and without provocation, screamed at him and ran off","Open","E00157","3/2/2015",NA,"20:00",NA,"ASSAULT"
"53","Assault","1362 E. 59th St. ","Lab School","8/24/2017","7:27","During an argument among co-workers, one individual threatened another with bodily harm / Suspect arrested on 8/28/17 and charged with assault","Arrest","17-00706","8/23/2017",NA,"15:25",NA,"ASSAULT"
"54","Assault","5700 S. Maryland ","CCD","10/4/2017","17:16","Individual attempted to strike a UC Medicine staff member / Subject arrested by UCPD and charged with assault","Arrest","17-00839","10/4/2017",NA,"17:00",NA,"ASSAULT"
"55","Assault","950 E. 59th St. ","Billings Cafeteria","6/22/2015","14:46","After calling attention to two subjects leaving cafeteria without paying for food, victim was threatened by one suspect","Open","E00402","6/22/2015",NA,"13:30",NA,"ASSAULT"
"56","Assault","1400 E. Midway Pl.",NA,"4/14/2016","14:35","Passenger in car threw a water bottle at a cyclist / Cyclist not injured","Open","16-00310","4/14/2016",NA,"14:20",NA,"ASSAULT"
"57","Assault / Domestic","1362 E. 59th St. ","Lab School","4/3/2015","16:07","Staff member received telephone threat from former boyfriend","Open","E00219","4/3/2015",NA,"9:55",NA,"ASSAULT"
"58","Assist Other Agency","5531 S. Everett",NA,"3/23/2014","11:06","UCPD officer detained a male subject wanted by CPD for a hit and run accident / CPD case","CPD","D00280","3/23/2014",NA,"11:06",NA,"OTHER"
"59","Assist Other Agency","5112 S. Woodlawn",NA,"10/4/2014","12:40","UCPD officer detained a theft suspect / Turned over to CPD / CPD case HX454926","CPD","D00886","10/4/2014",NA,"12:40",NA,"THEFT"
"60","Assist Other Agency","5505 S. Ellis ","Parking Structure","4/22/2015","16:00","Unoccupied vehicle that had been reported stolen to CPD recovered on the 2nd floor of the structure / CPD case HY181964","CPD","E00259","4/22/2015",NA,"16:00",NA,"OTHER"
"61","Assist Other Agency","5620 S. Cottage Grove ","Public Way","12/22/2017","15:26","UCPD officers observed a subject attempting to remove a City of Chicago Dept. of Revenue boot from a vehicle parked on the street / Subject detained and turned over to the custody of CPD","CPD","17-01146","12/22/2017",NA,"15:26",NA,"OTHER"
"62","Assist Other Agency","1449 E. 57th St.",NA,"9/3/2017","15:01","Three teenaged suspects created a disturbance in a retail store off campus before fleeing on bicycles / UCPD officers located and detained two suspects who were turned over to CPD / Charged with assault and battery / CPD case","CPD / Arrest","17-00735","9/3/2017",NA,"14:55",NA,"DISTURBANCE"
"63","Assist Other Agency","1554 E. 55th St.",NA,"8/9/2017","14:00","UCPD officer detained a subject wanted for retail theft by CPD / Turned over to CPD / CPD case JA384153","CPD / Arrest","17-00663","8/9/2017",NA,"13:55",NA,"THEFT"
"64","Assist Other Agency","4900 S. Blackstone",NA,"7/16/2016","20:26","UCPD officer detained motorist involved in hit & run property damage accident that occurred at 53rd & Woodlawn / Turned over to CPD","CPD","16-00601","7/16/2016",NA,"20:26",NA,"ACCIDENT"
"65","Assist Other Agency","4900 S. Lake Park",NA,"12/29/2015","2:00","UCPD officer discovered an unoccupied vehicle parked on the street that was wanted in relation to a robbery on the North Side of Chicago / CPD notified / CPD case HY547276","CPD","E00871","12/29/2015",NA,"2:00",NA,"OTHER"
"66","Assist Other Agency","Ridgewood between 54th & 55th",NA,"12/9/2016","13:10","Responding to a call of a suspicious person, UCPD officers detained an individual who had attempted to gain entry to an off-campus apartment / Suspect turned over to CPD and was charged with attempted burglary / CPD case HZ544867","CPD","16-01103","12/9/2016",NA,"13:10",NA,"THEFT"
"67","Assist Other Agency","5300 S. Dorchester ","Public Way","10/31/2015","18:52","UCPD officers observed a suspect displaying a weapon on the street off-campus / Suspect fled but was detained after a brief foot chase / a replica handgun was recovered / Suspect turned over to and arrested by CPD","CPD","E00722","10/31/2015",NA,"18:52",NA,"WEAPON"
"68","Assist Other Agency","Ellis between 61st & 62nd",NA,"3/24/2017","14:44","Individual suffered accidental, self-inflicted gunshot wound to the hand off-campus / Transported to ER by associates / Weapon recovered / CPD case JA198801","CPD","17-00233","3/24/2017",NA,"14:40",NA,"WEAPON"
"69","Assist Other Agency","1219 E. 53rd St.",NA,"1/1/2016","23:39","UCPD officer located, via license plate reader, an unoccupied vehicle that had been reported stolen to CPD / CPD and owner notified","CPD","16-00002","1/1/2016",NA,"23:30",NA,"OTHER"
"70","Assist Other Agency","Drexel between 61st & 62nd St.",NA,"10/17/2017","17:39","UCPD officer responding to a call of a burglary in progress detained a suspect who was turned over to and arrested by CPD / CPD case JA474964","CPD/Arrest","17-00897","10/17/2017",NA,"17:39",NA,"THEFT"
"71","Assist Other Agency","901 E. 58th St. ","Mitchell ER","5/7/2014","19:21","UCPD officer detained a person wanted by CPD / Turned over to CPD","CPD","D00411","5/7/2014",NA,"19:21",NA,"OTHER"
"72","Assist Other Agency","5757 S. University ","Saieh Hall","5/3/2017","15:13","UCPD officers detained a subject for Chicago Police Dept. detectives / CPD case","CPD","17-00354","5/3/2017",NA,"15:13",NA,"OTHER"
"73","Assist Other Agency","6101 S. Cottage Grove ","Construction Site","5/21/2017","14:00","UCPD officers detained one suspect wanted by CPD for trespass to the off campus construction site at 61st & Cottage Grove / CPD took a second suspect into custody","CPD","17-00410","5/21/2017",NA,"14:00",NA,"TRESPASS"
"74","Assist Other Agency","1226 E. 53rd St. ","Kimbark Plaza","2/27/2016","19:37","UCPD officer detained a suspect wanted by CPD for a hit and run traffic crash in another area of the city / Turned over to CPD / CPD case HZ167499","CPD","16-00182","2/27/2016",NA,"19:37",NA,"OTHER"
"75","Assist Other Agency","850 E. 61st St.",NA,"12/2/2016","11:15","UCPD Investigations assisted another law enforcement agency conducting an investigation","Closed","16-01077","12/2/2016",NA,"10:30",NA,"OTHER"
"76","Assist Other Agency","5300 S. Drexel",NA,"6/21/2014","11:46","UCPD officers detained a suspect wanted for investigation of a robbery by CPD / CPD case HX312902","CPD","D00594","6/21/2014",NA,"11:46",NA,"ROBBERY"
"77","Assist Other Agency","6101 S. Woodlawn",NA,"3/15/2016","15:23","While on patrol UCPD officer was alerted by in-car License Plate Reader of a stolen vehicle parked unattended on the street / Turned over to CPD / CPD case HZ183215","CPD","16-00226","3/15/2016",NA,"15:23",NA,"OTHER"
"78","Assist Other Agency","1539 E. 53rd St.",NA,"10/11/2014","15:30","UCPD officers detained an individual who had taken merchandise from a retail establishment without paying / Turned over to CPD / CPD case HX463832","CPD","D00900","10/11/2014",NA,"15:30",NA,"OTHER"
"79","Assist Other Agency","820 E. Midway Pl.",NA,"9/18/2015","21:00","UCPD officers detained a suspect for possession of a replica handgun / Suspect arrested and charged by CPD","CPD","E00573","9/18/2015",NA,"21:00",NA,"WEAPON"
"80","Assist Other Agency","5345 S. Harper ","Harper Crest Apts.","12/15/2015","9:42","UCPD officers assisted Chicago Police in arresting 5 suspects involved in theft of parcels from the vestibule of off campus apartment building / CPD case HY537929","CPD","E00837","12/15/2015",NA,"9:40",NA,"THEFT"
"81","Assist Other Agency","Greenwood between 53rd & 54th",NA,"9/17/2016","12:06","Witness observed unknown suspect gaining access to multiple off-campus apartments via rear door and window and called police / UCPD officer arrived and saw suspect on rear stairs and detained him / Suspect turned over to CPD and placed under arrest for trespass to property / CPD follow up investigation for burglaries / CPD case HZ438057","CPD","16-00789","9/17/2016",NA,"12:05",NA,"THEFT"
"82","Assist Other Agency","1157 E. 59th St.",NA,"5/18/2016","17:01","Owner observed an unknown subject in his parked car rummaging through property / UCPD officers detained the suspect who was turned over to CPD","CPD","16-00420","5/18/2016",NA,"17:00",NA,"OTHER"
"83","Assist Other Agency","Cornell between 50th & 51st",NA,"10/28/2017","13:15","UCPD officer detained an individual wanted on an active warrant by the Cook County Sheriff's Police / Turned over to CPD","CPD","17-00945","10/28/2017",NA,"13:15",NA,"OTHER"
"84","Assist Other Agency","3722 S. Lake Park ","Public Way","1/12/2018","12:01","UCPD officer located a parked, unoccupied vehicle wanted for investigation by CPD / Turned over to CPD","Closed","18-00046","1/12/2018",NA,"12:01",NA,"OTHER"
"85","Assist Other Agency","Kimbark between 51st & 52nd",NA,"10/31/2017","17:26","2 unknown suspects armed with a handgun took a book bag and a wallet from victim going into the rear of off campus apartment building and fled in a vehicle / UCPD officers located suspect's vehicle / Suspects crashed car on 47th near Cottage Grove and 3 were detained by UCPD and CPD / Charged with armed robbery / CPD case JA493557","CPD/Arrest","17-00961","10/31/2017",NA,"17:26",NA,"ROBBERY"
"86","Assist Other Agency","54th St. between Woodlawn and Kimbark",NA,"4/25/2017","13:37","UCPD officers detained three suspects who had stolen a bicycle from the yard of a private residence off-campus / Suspects and bicycle turned over to CPD / CPD case","CPD","17-00331","4/25/2017",NA,"13:30",NA,"OTHER"
"87","Assist Other Agency","1616 E. 50th Pl.",NA,"3/15/2016","17:48","UCPD and CPD officers performed a well-being check at an off-campus private apartment and found the occupant deceased / CPD case HZ188485","CPD","16-00227","3/15/2016",NA,"17:48",NA,"WELL BEING CHECK"
"88","Assist Other Agency","6300 S. Dorchester",NA,"2/11/2014","16:04","UCPD officer assisted CPD in the arrest of an individual attempting to elude police / CPD case","CPD","D00148","2/11/2014",NA,"16:04",NA,"OTHER"
"89","Assist Other Agency","5808 S. Russell Dr. ","Washington Park","11/9/2015","21:20","While assisting CPD in search of a suspect wanted for an armed robbery outside of UC Patrol Area, UCPD officer located a suspect and recovered two handguns from his person / Suspect turned over to CPD and arrested for felony weapons charges / CPD case HY495907","CPD / Arrest","E00752","11/9/2015",NA,"21:20",NA,"WEAPON"
"90","Assist Other Agency","1500 E. 61st St.",NA,"5/13/2015","18:53","UCPD officer, while assisting CPD on a person with a gun call, found a handgun hidden under an outdoor cooking grill / CPD case HY259059","CPD","E00305","5/13/2015",NA,"18:53",NA,"WEAPON"
"91","Assist Other Agency","Drexel between 51st & 52nd",NA,"10/31/2016","12:31","Resident observed 2 unknown suspects forcing rear door of apartment and called police / UCPD officers toured the area and detained two suspects who were identified by witnesses / Suspects turned over to CPD, placed under arrest and charged with burglary / CPD case HZ496587","CPD","16-00967","10/31/2016",NA,"12:25",NA,"THEFT"
"92","Assist Other Agency","5800 S. Cottage Grove",NA,"9/18/2016","3:07","Two unknown suspects, one armed with a weapon, chased victim on the sidewalk off-campus / UCPD officers arrived, located  and detained suspects /  A pellet gun was recovered from one suspect / Suspects turned over to CPD, arrested and charged with weapon violation and 1 suspect held on curfew violation / CPD case HZ438901","CPD","16-00792","9/18/2016",NA,"3:07",NA,"WEAPON"
"93","Assist Other Agency","951 E. Midway Pl.",NA,"6/12/2014","17:43","UCPD officer recovered a parked, unattended car that had been reported stolen to CPD / CPD case HX292621","CPD","D00560","6/12/2014",NA,"17:43",NA,"OTHER"
"94","Assist Other Agency","5400 S. Hyde Park",NA,"4/20/2014","19:26","UCPD officer recovered a backpack dropped by a fleeing suspect, who made good his escape / Recovered 4- laptop computers, iPod, and clothing / Items were taken from a previous off campus burglary / CPD case HX230992","CPD","D00366","4/20/2014",NA,"19:26",NA,"THEFT"
"95","Assist Other Agency","1400 E. 47th St.",NA,"10/24/2017","12:45","UCPD officers detained an individual who had displayed a knife / CPD transported subject to hospital for mental evaluation","CPD","17-00925","10/24/2017",NA,"12:45",NA,"OTHER"
"96","Assist Other Agency","5128 S. Blackstone ","Public Way","2/14/2018","16:41","UCPD officers detained a suspect wanted by Chicago Police for trespassing at Kenwood Academy / Suspect turned over to CPD","CPD","18-00152","2/14/2018",NA,"16:41",NA,"TRESPASS"
"97","Assist Other Agency","1418 E. 53rd St.",NA,"1/16/2014","15:50","UCPD officers observed a male suspect wanted by Metra Police / Assisted Metra Police in arrest of the suspect","Metra Case","D00049","1/16/2014",NA,"15:50",NA,"OTHER"
"98","Assist Other Agency","5254 S. Dorchester ","Public Way","9/5/2017","14:12","Suspect seen firing a handgun off campus, damaging a parked vehicle before fleeing in a vehicle / UCPD officer detained suspect at 49th & Cottage Grove / Suspect identified by witness and arrested by CPD / CPD officers recovered handgun / CPD case JA419789","CPD / Arrest","17-00740","9/5/2017",NA,"14:10",NA,"WEAPON"
"99","Assist Other Agency","1149 E. 46th St.",NA,"2/13/2017","8:17","UCPD officer detained individual in possession of a stolen vehicle with stolen license plates / Turned over to CPD / CPD case JA142008","CPD","17-00129","2/13/2017",NA,"8:17",NA,"OTHER"
"100","Assist Other Agency","5807 S. Woodlawn ","Booth School","10/11/2017","5:15","Responding to a suspicious person call, UCPD officers detained a subject in the parking garage / Suspect wanted on a warrant by CPD / Turned over to CPD","CPD/Arrest","17-00865","10/11/2017",NA,"5:15",NA,"OTHER"
"101","Assist Other Agency","5503 S. Everett ","Public Way","9/18/2016","12:05","Suspect, armed with a weapon, took computer bag from victim walking on the sidewalk off-campus / UCPD officers located and detained the suspect, who was turned over to CPD / Victim's property and a replica handgun were recovered / Suspect arrested and charged with Aggravated Robbery by CPD / CPD case HZ439317","CPD","16-00793","9/18/2016",NA,"12:03",NA,"WEAPON"
"102","Assist Other Agency / Aggravated Assault","6100 S. Evans ","Public Way","6/21/2015","15:50","Suspect fired multiple shots from a handgun at a group of people standing on the corner off campus outside of UCPD patrol area / UCPD officer located and detained suspect at 6132 S. Ingleside / Weapon recovered / Suspect turned over to CPD and taken into custody / No reports of injuries / CPD case HY310321","CPD / Arrest","E00401","6/21/2015",NA,"15:50",NA,"ASSAULT"
"103","Assist Other Agency / Aggravated Robbery","4901 S. Cottage Grove",NA,"1/23/2017","16:56","Three suspects, implying a weapon, took an iPhone and wallet from a victim at the CTA bus stop off-campus before boarding the bus / UCPD officer curbed bus and detained the suspects / Victim's iPhone and wallet recovered / Suspects turned over to CPD and charged with robbery / CPD case JA127103","CPD / Arrest","17-00070","1/23/2017",NA,"16:55",NA,"ROBBERY"
"104","Assist Other Agency / Aggravated Robbery / Vehicle Hijacking","1224 E. Midway Pl.",NA,"10/5/2015","12:15","Victim, sitting in vehicle, approached by suspect who took keys and other property from victim before forcing victim from vehicle / UCPD officer arrived and detained suspect before he could drive off / Suspect turned over to CPD and charged with robbery / CPD investigation HY450349","CPD / Arrest","E00629","10/5/2015",NA,"12:13",NA,"ROBBERY"
"105","Assist Other Agency / Armed Robbery","6122 S. Greenwood",NA,"4/4/2016","22:20","UCPD officer on patrol was flagged down by an individual who reported two suspects, one armed with a handgun, took a book bag, computer, cell phone, cash and IDs / Officers located 2 suspects and took them into custody after a brief foot chase / Suspects had possession of victim's property and were identified by the victim / Suspects charged with armed robbery","CPD","16-00276","4/4/2016",NA,"22:20",NA,"ROBBERY"
