"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"43","Non-Criminal Damage to Vehicle","6054 S. Drexel","1/15/14 4:24 PM","12/29/13 to 12/30/13","Damage reported to undercarriage of UC owned vehicle","Closed","D00042"
"44","Information","5815 S. Maryland (Mitchell Hospital)","1/15/14 2:07 PM","1/15/14 2:07 PM","Individual causing a disturbance at the hospital was escorted from the property and issued a trespass warning","Closed","D00044"
"45","Information / Theft","Woodlawn between 54th & 55th","1/15/14 5:47 PM","1/15/14 10:00 AM to 5:30 PM","Unknown person took contents from a parcel left in the vestibule of an off-campus private apartment building / CPD case","CPD","D00045"
"46","Harassment by Electronic Means","Blackstone between 54th & 55th","1/15/14 8:59 PM","1/12/14 to 1/15/14 7:35 AM to 8:50 PM","Report of harassing email from an acquaintance / Complainant refused to prosecute known suspect","Ex. Cleared / Closed","D00046"
"47","Att. Theft from Person","900 E. 60th St.","1/16/14 10:23 AM","1/15/14 7:30 PM","Delayed report - Two unknown males attempted to snatch a purse from a woman walking on the sidewalk / Suspects fled without taking property","Open","D00047"
"48","Injured Person","5758 S. Maryland (DCAM)","1/16/14 3:00 PM","1/16/14 2:00 PM","Woman tripped over mat on lobby floor and fell injuring her right knee, right hand, and complained of lower back pain / Treated for injuries","Closed","D00048"
"49","Assist Other Agency","1418 E. 53rd St.","1/16/14 3:50 PM","1/16/14 3:50 PM","UCPD officers observed a male suspect wanted by Metra Police / Assisted Metra Police in arrest of the suspect","Metra Case","D00049"
"50","Theft from Motor Vehicle","1250 E. Midway Pl.","1/16/14 6:55 PM","1/16/14 12:15 PM to 6:15 PM","Unknown person(s) took the battery from a Chevy Malibu parked on the street","Open","D00050"
"51","Theft","57th between Harper & Lake Park","1/17/14 6:42 PM","1/17/14 3:00 PM to 6:00 PM","Unknown person opened parcel in mail area of off-campus apartment building and took a fur coat","Open","D00051"
"52","Lost Property","Metra Train","1/17/14 10:45 PM","1/17/14 9:00 PM to 9:40 PM","Person reported losing a wallet on the Metra train between Randolph St. and 57th St.","Closed","D00052"
"53","Theft from Motor Vehicle","1400 E. Midway Pl.","1/18/14 4:16 PM","1/16/14 2:30 PM to 5:00 PM","Unknown person took battery from a Chevy Malibu parked on the street","Open","D00053"
"54","Traffic Accident","5530 S. Ellis","1/18/14 7:30 PM","1/18/14 7:30 PM","UC Shuttle bus involved in traffic accident","Closed","D00054"
"55","Lost Property","Greenwood between 53rd & 54th","1/18/14 11:20 PM","11/18/14 2:00 PM","Individual reported losing an iPhone, probably while walking on the sidewalk in 5300 block of Greenwood","Closed","D00055"
"56","Possession of Cannabis","4800 S. Dorchester","1/18/14 11:38 PM","1/18/14 11:38 PM","Subsequent to stopping a motorist for a traffic violation UCPD officers arrested a passenger in the vehicle for possession of cannabis","Arrest","D00058"
"57","Disturbance","5625 S. University (Fraternity House)","1/19/14 12:16 AM","1/19/14 12:16 AM","UCPD officers responded to a complaint of loud noises / Peace restored","Closed","D00056"
"58","Liquor Law Violation","5748 S. Blackstone (Blackstone Hall)","1/19/14 12:29 AM","1/19/14 12:29 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00057"
"59","Liquor Law Violation","5500 S. Hyde Park (Public Way)","1/19/14 1:04 AM","1/19/14 1:04 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00059"
"60","Found Property","5700 S. Blackstone","1/19/14 9:40 AM","1/19/14 9:40 AM","UCPD officer found iPhone in the snow on the public way / Inventoried for safekeeping at UCPD HQ","Closed","D00060"
"61","Information","6031 S. Ellis (SCRH)","41659.01736","41658.9375","Three individuals became ill after consuming brownies believed to contain marijuana / Transported to ER by CFD EMS / CPD case HX120741","CPD","D00061"
"62","Battery","5700 S. Maryland (CCD)","1/21/14 5:13 AM","1/21/14 4:30 AM","One male struck another in the face during the course of an argument / Arrest by UCPD","Arrest","D00062"
"63","Found Narcotics","5700 S. Maryland (CCD)","1/21/14 9:11 AM","1/21/14 8:30 AM","Staff member found suspect marijuana in a patient's room / Turned over to UCPD","Closed","D00063"
"64","Information","52nd St. between Greenwood & University","1/21/14 1:35 PM","1/10/14 to 1/11/14 11:00 AM to 2:00 PM","Victim reported unauthorized purchase made with his debit card","CPD","D00064"
"65","Information","5505 S. Ellis (Parking Structure)","1/21/14 4:53 PM","1/21/14 4:30 PM","Staff member working on UC owned vehicle when hood fell on the fingers of his left hand / Declined medical attention","Closed","D00065"
"66","Information","55th at Cornell","1/21/14 5:35 PM","1/21/14 5:35 PM","Pedestrian walking in the crosswalk was struck by a vehicle / Transported to hospital for evaluation and treatment by CFD EMS / CPD case","CPD","D00066"
"67","Information","1212 E. 59th St. (Ida Noyes)","1/22/14 1:02 AM","1/22/14 1:00 AM","Maintenance employee reported finding 3 file cabinet drawers open in secured office","Closed","D00067"
"68","Medical Call","1100 E.57th St. (Regenstein Library)","1/22/14 3:36 PM","1/22/14 3:35 PM","Ill person transported to the ER by CFD EMS","Closed","D00068"
"69","Information / Robbery","6300 S. Greenwood","1/22/14 4:26 PM","1/22/14 3:35 PM","Three unknown males took an iPhone and a wallet from a victim walking on the sidewalk off-campus / CPD case HX123855","CPD","D00069"
"70","Battery","1100 E.57th St. (Regenstein Library)","1/22/14 9:16 PM","1/22/14 8:45 PM","A known male threw coffee on another  male and struck him in the chest with his hand before departing / Victim claimed no injuries and declined medical attention / Suspect arrested on signed complaints on 1/23/14","Arrest","D00070"
"71","Theft","5800 S. Stony Island (Shapiro Hall)","1/23/14 12:11 PM","11/1/13 to 11/2/13 4:00 PM to 8:00 AM","Unknown person took unattended laptop computer from unsecured room","Open","D00071"
"72","Lost Property","5815 S. Maryland (Mitchell Hospital)","1/23/14 3:18 PM","1/18/14 6:00 PM to 7:00 PM","Patient left cell phone in pocket of hospital gown that was sent to the laundry","Closed","D00072"
"73","Medical Call","1010 E. 59th St.","1/24/14 10:21 AM","1/24/14 10:15 AM","Individual walking through the Winter Garden slipped on the icy surface injuring his right ankle / Transported to ER by CFD EMS","Closed","D00073"
"74","Void","Void","Void","Void","Number generated in error","Void","D00074"
"75","Void","Void","Void","Void","Number generated in error","Void","D00075"
"76","Theft","970 E. 58th St. (Bookstore)","1/24/14 4:02 PM","1/24/14 3:55 PM","Unknown male snatched four jackets from a display rack and fled the store","Open","D00076"
"77","Found Property","5700 S. Ellis (Public Way)","1/24/14 4:15 PM","1/24/14 3:30 PM","A wallet found on the sidewalk was turned over to UCPD for safekeeping","Closed","D00077"
"78","Medical Call","5459 S. Ingleside (Alley)","1/24/14 7:!7 PM","1/24/14 5:00 PM","Woman slipped on an icy surface and fell injuring her left ankle / Transported to ER for treatment","Closed","D00078"
"79","Information","57th between University & Woodlawn","1/24/14 4:35 PM","1/24/13 4:35 PM","An ill individual was transported to ER for evaluation and treatment","Closed","D00079"
"80","Assist Other Agency / Recovered Vehicle","4835 S. Kimbark","1/24/14 11:11 PM","1/24/14 11:11 PM","UCPD officers recovered an unoccupied car that had been reported stolen to CPD","CPD","D00080"
"81","Liquor Law Violation","6031 S. Ellis (SCRH)","1/25/14 2:58 AM","1/25/14 2:30 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00081"
"82","Information","1500 E. 53rd St.","1/25/14 9:59 AM","1/24/14 5:55 PM","Woman reported lost wallet","Closed","D00082"
"83","Information","1212 E. 59th St. (Ida Noyes)","1/25/14 12:12 PM","1/25/14 1:30 AM to 9:15 AM","Crash bar on main entrance door was damaged","Closed","D00083"
"84","Information","56th between Hyde Park & Everett","1/25/14 4:31 PM","1/25/14 4:31 PM","Well-being check / Resident contacted in person by UCPD and DOC / Individual declined assistance and was advised to recontact UCPD if necessary","Closed","D00084"
"85","Attempt Theft from Person","1225 E. 60th St. (Public Way)","1/26/14 12:40 PM","1/26/14 11:45 AM","Two males attempted to snatch a cell phone from the hand of a victim walking on the sidewalk / Suspects fled without taking property / Victim claimed no physical injury and declined medical attention","Open","D00085"
"86","Information","5721 S. Maryland (Comer Hospital)","1/26/14 12:16 PM","1/26/14 12:15 PM","Disturbance involving parents of a patient / Peace restored","Closed","D00086"
"87","Medical Call","5709 S. Ellis (Snell Hall)","1/26/14 1:35 PM","1/26/14 1:30 PM","Ill individual transported to ER for evaluation and treatment","Closed","D00087"
"88","Information","6019 S. Ingleside","1/26/14 9:29 PM","1/26/14 9:29 PM","Domestic disturbance / Verbal disagreement / Peace restored","Closed","D00088"
"89","No Reports this Date","","","","","",""
"90","Theft","5758 S. Maryland (DCAM)","1/28/14 1:23 PM","1/28/14 1:15 PM to 1:20 PM","Unknown person took wallet from victim's handbag, possibly on the elevator","Open","D00089"
"91","Found Property","6054 S. Drexel","1/28/14 5:07 PM","1/28/14 5:07 PM","Wallet found on UC Shuttle bus turned over to UCPD for safekeeping / Owner notified","Closed","D00090"
"92","Information / Armed Robbery","55th between Kenwood & Dorchester","1/28/14 5:58 PM","1/28/14 5:50 PM","Two men armed with a handgun took currency and cell phones from retail establishment / CPD case HX130733","CPD","D00091"
"93","Lost Property","5730 S. Drexel (Comer)","1/28/14 6:47 PM","1/28/14 2:00 PM to 3:00 PM","Visitor lost cell phone in hospital","Closed","D00092"
"94","Information / Theft","Woodlawn between 61st & 62nd","1/29/14 7:47 PM","1/29/14 9:00 AM to 7:45 PM","Unknown person took cell phone from parcel left in unsecured vestibule of off-campus private residence / CPD case","CPD","D00093"
"95","Theft","901 E. 58th St. (Mitchell ER)","1/30/14 7:53 AM","1/30/14 12:30 AM to 7:15 AM","Unknown person took cell phone and glasses from patient's room","Open","D00094"
"96","Theft","1131 E. 57th St. (Mandel Hall)","1/30/14 8:08 AM","1/29/14 7:20 PM to 10:15 PM","Unknown person took a laptop computer, iPhone and wallet from an unattended back pack","Open","D00095"
"97","Information","1155 E. 60th St. (Harris School)","1/30/14 10:44 AM","1/21/14 3:00 PM","Report of lost UPS parcel containing an iPad","Open","D00096"
"98","Information","61st & Woodlawn","1/30/14 12:55 PM","1/29/14 7:30 PM to 8:30 PM","Report of lost wallet","Closed","D00097"
"99","Information","5514 S. Blackstone (Blackstone Villa)","1/31/14 2:49 AM","1/31/14 2:49 AM","Ill person transported to ER By CFD EMS","Closed","D00098"
"100","Information","5000 S. Cornell","1/31/14 9:27 AM","1/31/14 9:27 AM","UCPD officer pursued a car reported stolen to CPD / Terminated pursuit at 47th and Lake Shore for safety considerations","Closed","D00099"
"101","Non-Criminal / Damage to Property","900 E. 57th St. (Knapp Center)","1/31/14 3:38 PM","1/30/14 2:45 PM","8 x 4 window shattered / Cause unknown at this time","Open","D00100"
"102","Information","5815 S. Maryland (Mitchell Hospital)","1/31/14 4:21 PM","1/28/14 10:00 AM","Patient complained of rough treatment  while being examined by a staff member","Closed","D00101"
"103","Information / Mental Health Transport","54th between Harper & Lake Park","1/31/14 7:07 PM","1/31/14 7:07 PM","Individual transported to hospital for evaluation and treatment","Closed","D00102"
"104","Information","901 E. 58th St. (Mitchell ER)","2/1/14 5:50 AM","2/1/14 3:25 AM","Patient in ER was using iPhone to video staff and other patients in treatment area and refused to cease activity when told to do so by staff / Ceased activity and deleted images after UCPD responded","Closed","D00103"
"105","Fire Alarm","5219 S. Harper (UC Office Building)","2/1/14 4:23 PM","2/1/14 4:23 PM","Faulty sprinkler head in garage triggered fire alarm / CFD responded","Closed","D00104"
"106","Information","54th between University & Woodlawn","2/1/14 6:12 PM","2/1/14 6:10 PM","Disturbance with ex-boyfriend in off-campus apartment / Peace restored","Closed","D00105"
"107","Noise Complaint","5625 S. University (Fraternity House)","2/2/14 1:05 AM","2/2/14 1:05 AM","Complaint of excessive noise from a party / Party terminated / Peace restored","Closed","D00106"
"108","Information","Ingleside between 54th & 55th","2/2/14 7:09 PM","2/2/14 6:30 PM","Off campus dispute between mother and daughter / Peace restored","Closed","D00107"
"109","Information / Traffic Accident","947 E. 58th St. (Construction Area)","2/3/14 10:28 AM","2/3/14 10:25 AM","Truck struck a light pole knocking it to the ground / Traffic Accident Report MVA00203","Closed","D00108"
"110","Non-Criminal / Damage to Property","1009 E. 57th St.","2/3/14 2:21 PM","2/3/14 5:45 AM to 2:15  PM","Side view mirror of car parked on the street was damaged / Cause unknown","Closed","D00109"
"111","Lost Property","5815 S. Maryland (Mitchell Hospital)","2/3/14 3:04 PM","1/30/14 to 2/3/14 12:00 PM to 2:00 PM","Staff member reports losing his credit card","Closed","D00110"
"112","Public Peace Violation","5917 S. Cottage Grove","2/3/14 3:13 PM","2/3/14 3:13 PM","UCPD officer arrested a man standing in the middle of the roadway, panhandling, disrupting traffic and creating a hazardous situation","Arrest","D00111"
"113","Found Property","5815 S. Maryland (Mitchell Hospital)","2/3/14 4:25 PM","2/3/14 4:10 PM","Staff member found a kitchen knife and razor blades among patient's belongings / Inventoried by UCPD for safekeeping","Closed","D00112"
"114","Theft","5721 S. Maryland (Comer Hospital)","2/3/14 7:36 PM","2/3/14 5:30  PM to 5:50 PM","Unknown person took unattended cell phone from desk top in unsecured area","Open","D00113"
"115","Possession of Controlled Substance","4900 S. Lake Park","2/4/14 1:01 AM","2/4/14 1:01 AM","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for possession of a controlled substance","Arrest","D00114"
"116","Injured Person","6054 S. Drexel (UCPD HQ)","2/4/14 12:13 PM","2/4/14 9:20 AM","Staff member slipped on wet floor causing pain to lower back / Declined medical treatment at the time","Closed","D00115"
"117","Theft","5640 S. Ellis (Research Institutes - Construction Area)","2/4/14 12:54 PM","2/4/14 10:00 AM to 11:30 AM","Unknown person took unattended and unsecured cell phone and wallet from construction area","Open","D00116"
"118","Theft","5730 S. Drexel (Comer Hospital)","2/4/14 2:21 PM","2/4/14 6:45 AM to 12:00 PM","Cell phone taken from unattended and unsecured purse in 4th floor reception area","Open","D00117"
"119","Theft","5730 S. Drexel (Comer Hospital)","2/4/14 2:43 PM","2/4/14 1:00 PM to 2:40 PM","Unattended cell phone taken from desk top on 4th floor","Open","D00118"
"120","Void","Void","Void","Void","Number generated in error","Void","D00119"
"121","Lost Property","55th & Cornell to 57th & Woodlawn","2/4/14 4:04 PM","2/3/14 11:30 AM to 12:00 PM","Man reports losing wallet while walking to campus","Closed","D00120"
"122","Theft","5700 S. Maryland (CCD)","2/4/14 4:17 PM","2/4/14 1:20 PM to 2:30 PM","Laptop computer taken from desk top in office","Open","D00121"
"123","Domestic Battery","5730 S. Drexel (Comer Hospital)","2/5/14 1:09 AM","2/5/14 12:50 AM","During the course of an argument male struck girlfriend with his fist and fled before arrival of police / Victim declined to prosecute suspect","Ex. Cleared","D00122"
"124","Information / Assault","1111 E. 60th St. (Law School Parking Lot)","2/5/14 10:30 AM","2/5/14 8:00 AM","In the course of a verbal disagreement one man was threatened by another with bodily harm / No physical contact involved / CPD case HX139781","CPD","D00123"
"125","Information","6054 S. Drexel (UCPD)","2/5/14 4:25 PM","2/5/14 4:25 PM","Inter-agency confidential report","Closed","D00124"
"126","Information / Damage to Vehicle","901 E. 58th St. (Public Way)","2/5/14 4:45 PM","2/5/14 4:30 PM","Minor damage to UC owned vehicle reported","Closed","D00125"
"127","Warrant Arrest","6000 S. Stony Island","2/5/14 6:49 PM","2/5/14 6:49 PM","Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the subject on a warrant from the IL Dept. of Corrections","Arrest","D00126"
"128","Recovered Motor Vehicle","60th at Ellis","2/5/14 7:58 PM","2/5/14 7:50 PM","Vehicle struck two cars parked on the street / Witnesses saw occupants flee on foot / UCPD officers discovered the vehicle had been reported stolen to CPD","Closed","D00127"
"129","Assist Other Agency / Fire","1370 E. 53rd St.","2/5/14 9:!3 PM","2/5/14 9:13 PM","UCPD officers assisted CFD and CPD with traffic control at the scene of a fire in an off-campus mixed use building","Closed","D00128"
"130","Lost Property","5815 S. Maryland (Mitchell Hospital)","2/6/14 4:17 AM","2/5/14 to 2/6/14 12:00 PM to 1:00 AM","Patient reports loss of cell phone after transferring rooms","Closed","D00129"
"131","Harassment by Electronic Means","6045 S. Kenwood","2/6/14 10:12 AM","1/22/14 to 2/5/14 10:45 AM to 1:10 PM","Individual reported receipt of harassing email","Open","D00130"
"132","Information","6054 S. Drexel (UCPD)","2/6/14 2:21 PM","2/6/14 2:21 PM","Information received from another law enforcement agency relating to possible threats","Open","D00131"
"133","Found Property","5300 S. Cornell","2/6/14 8:21 PM","2/6/14 8:10 PM","Individual found iPhone on the sidewalk / Turned over to UCPD for safekeeping","Closed","D00132"
"134","Information / Armed Robbery","5048 S. Cornell","2/7/14 12:17 AM","2/6/14 11:45 PM","Two males, one armed with a knife, took cash from gas station attendant / CPD case HX141897","CPD","D00133"
"135","Information","6054 S. Drexel (UCPD)","2/7/14 2:59 PM","2/7/14 2:59 PM","Individual sought information regarding a domestic situation / Provided with contacts and resources","Closed","D00134"
"136","Theft","5530 S. Ellis (Ratner AC)","2/7/14 4:39 PM","2/7/14 1:00 PM to 3:00 PM","Unknown person took iPhone from secured locker in women's locker room","Open","D00135"
"137","Theft","5530 S. Ellis (Ratner AC)","2/7/14 4:41 PM","2/5/14 11:00 AM","Unknown person took ring from a gym bag in women's locker room while the victim was momentarily distracted","Open","D00136"
"138","Information / Traffic Accident","6100 S. Woodlawn","2/7/14 5:07 PM","2/7/14 5:00 PM","UC owned vehicle was struck in rear in minor property damage accident / MVA00206","Closed","D00137"
"139","Battery","1055 E. 55th St. (7-10 Lanes)","2/7/14 11:34 PM","2/7/14 11:34 PM","Three unknown females struck two females with their fists in an apparent unprovoked attack / No injuries reported / Medical attention declined / Victim refused to prosecute known offender","Ex. Cleared","D00138"
"140","No reports this date","","","","","",""
"141","Information / Battery","5225 S. Harper (Hotel)","2/9/14 12:53 AM","2/9/14 12:53 AM","Male subject arrested for battery of a CPD officer / CPD case","CPD","D00139"
"142","Liquor Law Violation","5640 S. University (Bartlett Commons)","2/9/14 2:06 AM","2/9/14 2:06 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00140"
"143","Void","Void","Void","Void","Number generated in error","Void","D00141"
"144","Criminal Damage to Property","5640 S. University (Bartlett Commons)","2/9/14 2:15 PM","2/9/14 12:00 PM to 2:10 PM","Wall in washroom stall was damaged by unknown person(s)","Open","D00142"
"145","Possession of Cannabis","5500 S. Greenwood","2/9/14 7:45 PM","2/9/14 7:45 PM","Subsequent to a traffic violation UCPD officer arrested a motorist for possession of marijuana","Arrest","D00143"
"146","Traffic Violation","5100 S. Cornell","2/9/14 9:47 PM","2/9/14 9:47 PM","UCPD officer arrested a motorist for driving without a valid driver's license and eluding police","Arrest","D00144"
"147","Criminal Trespass to Land","5758 S. Maryland (DCAM)","2/10/14 1:50 PM","2/10/14 1:45 PM","Individual was arrested for trespass by UCPD officer after ignoring repeated warnings","Arrest","D00145"
"148","Found Property","5900 S. Woodlawn","2/10/14 3:20 PM","2/10/14 2:45 PM","A 10"" knife and sheath found on the public way / Turned over to UCPD for safekeeping","Closed","D00146"
"149","Injured Person","5550 S. University (Crown Field House)","2/10/14 10:04 PM","2/10/14 9:50 PM","Man injured his left arm while playing basketball / Transported to ER by CFD EMS","Closed","D00147"
"150","Assist Other Agency","6300 S. Dorchester","2/11/14 4:04 PM","2/11/14 4:04 PM","UCPD officer assisted CPD in the arrest of an individual attempting to elude police / CPD case","CPD","D00148"
"151","Found Narcotics","5815 S. Maryland (Mitchell Hospital)","2/11/14 3:47 PM","2/11/14 3:30 PM","Hospital staff member found a syringe among patient's possessions / Confiscated and properly disposed of in hospital container","Closed","D00149"
