"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"12","Traffic Accident / Property Damage","6400 S. Woodlawn",NA,"1/8/14","06:28","UC shuttle bus slid on icy surface and struck a parked vehicle / Property damage only / No injuries / MVA00174","Closed","D00013","1/8/14",NA,"06:25",NA
"13","Information / Burglary","Harper between 54th & 55th",NA,"1/8/14","19:03","Unknown person(s) forced entry to off-campus private apartment / Took laptop and tablet computers / CPD case HX107433","CPD","D00014","1/8/14",NA,"08:00","18:30"
"14","Burglary","5709 S. Ellis ","Snell","1/8/14","20:35","Unknown person(s) unlawfully entered rooms and took 4 laptop computers Suspect arrested subsequent to UCPD investigation and charged with burglary on 4/29/14","Arrest","D00015","1/8/14",NA,"15:30","20:30"
"15","Information / Dog Bite","1749 E. 55th St.",NA,"1/8/14","22:18","Woman reported she was bitten on the leg by a dog being walked by another person / Refused medical attention / CPD case","CPD","D00016","1/8/14",NA,"17:00",NA
"16","Traffic Accident / Property Damage","5830 S. Ellis",NA,"1/9/14","14:30","UC owned vehicle involved in a traffic accident / Property damage / No injuries","Closed","D00017","1/9/14",NA,"13:45",NA
"17","Information","1101 E. 58th St. ","Rosenwald","1/9/14","18:40","Flooding reported in basement due to a leaking radiator pipe / Facilities Dept. on the scene","Closed","D00018","1/9/14",NA,"18:30",NA
"18","Theft","6031 S. Ellis ","SCRH","1/10/14","11:03","Unattended laptop computer left in 5th floor lounge was taken by an unknown person","Open","D00019","1/10/14",NA,"01:00","10:00"
"19","Theft","5758 S. Maryland ","DCAM","1/10/14","12:05","7 Visa gift cards left in unlocked desk drawer were taken by an unknown person","Open","D00020","12/24/13","1/9/14","12:30","14:00"
"20","Criminal Damage to Property","1118 E. 58th St. ","Eckhart Hall","1/10/14","16:35","Locks were cut from two empty lockers in the basement","Open","D00021","1/6/14","1/10/14","17:00","16:00"
"21","Information","1101 E. 58th St. ","Rosenwald","1/10/14","16:53","Water leaked through the ceiling of two rooms on the 3rd floor causing damage to the ceiling and flooding on the floor / Facilities Dept. on the scene","Closed","D00022","1/10/14",NA,"16:50",NA
"22","Medical Call","5836 S. Greenwood ","Haskell Hall","1/10/14","19:05","Individual became ill after consuming alcoholic beverages was transported to the hospital by CFD EMS","Closed","D00023","1/10/14",NA,"19:05",NA
"23","Warrant Arrest","1449 E. 53rd St.",NA,"1/11/14","02:44","UCPD officer responding to a disturbance call discovered male subject was wanted on an a warrant from Cook County","Arrest","D00024","1/11/14",NA,"02:44",NA
"24","Medical Call","5630 S. University ","Max Palevsky","1/11/14","04:41","Individual dislocated his shoulder while sleeping / Transported to ER by CFD EMS","Closed","D00025","1/11/14",NA,"04:41",NA
"25","Fire / Property Damage","1307 E. 60th St. ","New Graduate Residence Hall- 2nd Floor","1/11/14","13:15","Resident noticed electrical fire in the kitchen range hood / Resident extinguished fire with a fire extinguisher / Minor property damage, no injuries / CFD, UC Facilities, and UC Safety responded","Closed","D00026","1/11/14",NA,"12:30",NA
"26","Liquor Law Violation","6031 S. Ellis ","SCRH","1/12/14","01:24","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00027","1/11/14",NA,"23:00",NA
"27","Robbery","5700 S. Maryland ","Public Way","1/12/14","17:12","Unknown male forcibly took cell phone from a woman walking on the sidewalk and fled on foot","Open","D00028","1/12/14",NA,"17:00",NA
"28","Theft","5758 S. Maryland ","DCAM","1/13/14","08:01","Unknown person took unattended Apple ear buds and UC ID card from desktop in unsecured office","Open","D00029","1/9/14",NA,"15:00","15:20"
"29","Information","5734 S. Ellis ","Public Way","1/13/14","12:19","Car struck bicycle in crosswalk / Cyclist reported no injuries and declined medical attention","Closed","D00030","1/13/14",NA,"12:19",NA
"30","Traffic Accident","1145 E. 55th St.",NA,"1/13/14","16:36","Traffic accident MVA00192","Closed","D00031","1/13/14",NA,"16:36",NA
"31","Traffic Accident","State St. & Roosevelt Rd.",NA,"1/13/14","19:05","UC owned vehicle involved in traffic accident / CPD HX113417","Closed","D00032","1/13/14",NA,"19:05",NA
"32","Information / Aggravated Robbery","University between 53rd & 54th",NA,"1/14/14","00:20","Delayed report - Unknown male, implying he had a weapon, took a wallet from a man walking on the sidewalk off campus / CPD case","CPD","D00033","1/12/14",NA,"23:10",NA
"33","Found Property","1101 E. 56th St. ","Max Palevsky","1/14/14","08:58","A bag of suspect cannabis was found in the hallway and turned over to UCPD","Closed","D00034","1/14/14",NA,"08:30",NA
"34","Theft","850 E. 58th St. ","American School","1/14/14","14:13","Unattended laptop stored in unsecured room was taken by an unknown person","Open","D00035","12/5/13","1/9/14","13:00",NA
"35","Burglary","5801 S. Ellis ","Levi Hall construction area","1/14/14","14:14","Contractor observed man taking electrical cords and construction material from secured work area / Suspect ran to a waiting vehicle that sped off but was stopped by UCPD officers / Arrest","Arrest","D00036","1/14/14",NA,"14:14",NA
"36","Traffic Accident","5641 S. Woodlawn",NA,"1/14/14","18:56","Traffic crash involving a UC bus / CPD report HX114680","Closed","D00037","1/14/14",NA,"18:56",NA
"37","Traffic Accident","5700 S. Woodlawn",NA,"1/14/14","21:51","Traffic crash involving a UC bus / MVA00193","Closed","D00038","1/14/14",NA,"17:40",NA
"38","Warrant Arrest","5900 S. Stony Island",NA,"1/14/14","22:11","Upon stopping a car for a traffic violation, UCPD officer discovered the rental car had been reported stolen from Wisconsin and the driver was wanted for a parole violation from the state of Indiana / Arrest","Arrest","D00039","1/14/14",NA,"22:11",NA
"39","Weapon Turn-In","65th St. between Harper and Stony Island",NA,"1/15/14","14:15","Individual called UCPD to turn in a handgun / Weapon inventoried at UCPD","Closed","D00040","1/15/14",NA,"14:15",NA
"40","Information","6031 S. Ellis ","SCRH","1/15/14","15:07","Individual found his bicycle that had been stolen in October 2013, but not reported to the police / Serial number on bike matched sales receipt","Closed","D00041","1/15/14",NA,"15:00",NA
"41","Non-Criminal Damage to Vehicle","6054 S. Drexel",NA,"1/15/14","16:24","Damage reported to undercarriage of UC owned vehicle","Closed","D00042","12/29/13","12/30/13",NA,NA
"42","Information","5815 S. Maryland ","Mitchell Hospital","1/15/14","14:07","Individual causing a disturbance at the hospital was escorted from the property and issued a trespass warning","Closed","D00044","1/15/14",NA,"14:07",NA
"43","Information / Theft","Woodlawn between 54th & 55th",NA,"1/15/14","17:47","Unknown person took contents from a parcel left in the vestibule of an off-campus private apartment building / CPD case","CPD","D00045","1/15/14",NA,"10:00","17:30"
"44","Harassment by Electronic Means","Blackstone between 54th & 55th",NA,"1/15/14","20:59","Report of harassing email from an acquaintance / Complainant refused to prosecute known suspect","Ex. Cleared / Closed","D00046","1/12/14","1/15/14","07:35","20:50"
"45","Att. Theft from Person","900 E. 60th St.",NA,"1/16/14","10:23","Delayed report - Two unknown males attempted to snatch a purse from a woman walking on the sidewalk / Suspects fled without taking property","Open","D00047","1/15/14",NA,"19:30",NA
"46","Injured Person","5758 S. Maryland ","DCAM","1/16/14","15:00","Woman tripped over mat on lobby floor and fell injuring her right knee, right hand, and complained of lower back pain / Treated for injuries","Closed","D00048","1/16/14",NA,"14:00",NA
"47","Assist Other Agency","1418 E. 53rd St.",NA,"1/16/14","15:50","UCPD officers observed a male suspect wanted by Metra Police / Assisted Metra Police in arrest of the suspect","Metra Case","D00049","1/16/14",NA,"15:50",NA
"48","Theft from Motor Vehicle","1250 E. Midway Pl.",NA,"1/16/14","18:55","Unknown person(s) took the battery from a Chevy Malibu parked on the street","Open","D00050","1/16/14",NA,"12:15","18:15"
"49","Theft","57th between Harper & Lake Park",NA,"1/17/14","18:42","Unknown person opened parcel in mail area of off-campus apartment building and took a fur coat","Open","D00051","1/17/14",NA,"15:00","18:00"
"50","Lost Property","Metra Train",NA,"1/17/14","22:45","Person reported losing a wallet on the Metra train between Randolph St. and 57th St.","Closed","D00052","1/17/14",NA,"21:00","21:40"
"51","Theft from Motor Vehicle","1400 E. Midway Pl.",NA,"1/18/14","16:16","Unknown person took battery from a Chevy Malibu parked on the street","Open","D00053","1/16/14",NA,"14:30","17:00"
"52","Traffic Accident","5530 S. Ellis",NA,"1/18/14","19:30","UC Shuttle bus involved in traffic accident","Closed","D00054","1/18/14",NA,"19:30",NA
"53","Lost Property","Greenwood between 53rd & 54th",NA,"1/18/14","23:20","Individual reported losing an iPhone, probably while walking on the sidewalk in 5300 block of Greenwood","Closed","D00055","11/18/14",NA,"14:00",NA
"54","Possession of Cannabis","4800 S. Dorchester",NA,"1/18/14","23:38","Subsequent to stopping a motorist for a traffic violation UCPD officers arrested a passenger in the vehicle for possession of cannabis","Arrest","D00058","1/18/14",NA,"23:38",NA
"55","Disturbance","5625 S. University ","Fraternity House","1/19/14","00:16","UCPD officers responded to a complaint of loud noises / Peace restored","Closed","D00056","1/19/14",NA,"00:16",NA
"56","Liquor Law Violation","5748 S. Blackstone ","Blackstone Hall","1/19/14","00:29","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00057","1/19/14",NA,"00:29",NA
"57","Liquor Law Violation","5500 S. Hyde Park ","Public Way","1/19/14","01:04","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00059","1/19/14",NA,"01:04",NA
"58","Found Property","5700 S. Blackstone",NA,"1/19/14","09:40","UCPD officer found iPhone in the snow on the public way / Inventoried for safekeeping at UCPD HQ","Closed","D00060","1/19/14",NA,"09:40",NA
"59","Information","6031 S. Ellis ","SCRH","41659.01736",NA,"Three individuals became ill after consuming brownies believed to contain marijuana / Transported to ER by CFD EMS / CPD case HX120741","CPD","D00061",NA,NA,NA,NA
"60","Battery","5700 S. Maryland ","CCD","1/21/14","05:13","One male struck another in the face during the course of an argument / Arrest by UCPD","Arrest","D00062","1/21/14",NA,"04:30",NA
"61","Found Narcotics","5700 S. Maryland ","CCD","1/21/14","09:11","Staff member found suspect marijuana in a patient's room / Turned over to UCPD","Closed","D00063","1/21/14",NA,"08:30",NA
"62","Information","52nd St. between Greenwood & University",NA,"1/21/14","13:35","Victim reported unauthorized purchase made with his debit card","CPD","D00064","1/10/14","1/11/14","11:00","14:00"
"63","Information","5505 S. Ellis ","Parking Structure","1/21/14","16:53","Staff member working on UC owned vehicle when hood fell on the fingers of his left hand / Declined medical attention","Closed","D00065","1/21/14",NA,"16:30",NA
"64","Information","55th at Cornell",NA,"1/21/14","17:35","Pedestrian walking in the crosswalk was struck by a vehicle / Transported to hospital for evaluation and treatment by CFD EMS / CPD case","CPD","D00066","1/21/14",NA,"17:35",NA
"65","Information","1212 E. 59th St. ","Ida Noyes","1/22/14","01:02","Maintenance employee reported finding 3 file cabinet drawers open in secured office","Closed","D00067","1/22/14",NA,"01:00",NA
"66","Medical Call","1100 E.57th St. ","Regenstein Library","1/22/14","15:36","Ill person transported to the ER by CFD EMS","Closed","D00068","1/22/14",NA,"15:35",NA
"67","Information / Robbery","6300 S. Greenwood",NA,"1/22/14","16:26","Three unknown males took an iPhone and a wallet from a victim walking on the sidewalk off-campus / CPD case HX123855","CPD","D00069","1/22/14",NA,"15:35",NA
"68","Battery","1100 E.57th St. ","Regenstein Library","1/22/14","21:16","A known male threw coffee on another  male and struck him in the chest with his hand before departing / Victim claimed no injuries and declined medical attention / Suspect arrested on signed complaints on 1/23/14","Arrest","D00070","1/22/14",NA,"20:45",NA
"69","Theft","5800 S. Stony Island ","Shapiro Hall","1/23/14","12:11","Unknown person took unattended laptop computer from unsecured room","Open","D00071","11/1/13","11/2/13","16:00","08:00"
"70","Lost Property","5815 S. Maryland ","Mitchell Hospital","1/23/14","15:18","Patient left cell phone in pocket of hospital gown that was sent to the laundry","Closed","D00072","1/18/14",NA,"18:00","19:00"
"71","Medical Call","1010 E. 59th St.",NA,"1/24/14","10:21","Individual walking through the Winter Garden slipped on the icy surface injuring his right ankle / Transported to ER by CFD EMS","Closed","D00073","1/24/14",NA,"10:15",NA
"72","Theft","970 E. 58th St. ","Bookstore","1/24/14","16:02","Unknown male snatched four jackets from a display rack and fled the store","Open","D00076","1/24/14",NA,"15:55",NA
"73","Found Property","5700 S. Ellis ","Public Way","1/24/14","16:15","A wallet found on the sidewalk was turned over to UCPD for safekeeping","Closed","D00077","1/24/14",NA,"15:30",NA
"74","Medical Call","5459 S. Ingleside ","Alley","1/24/14",NA,"Woman slipped on an icy surface and fell injuring her left ankle / Transported to ER for treatment","Closed","D00078","1/24/14",NA,"17:00",NA
"75","Information","57th between University & Woodlawn",NA,"1/24/14","16:35","An ill individual was transported to ER for evaluation and treatment","Closed","D00079","1/24/13",NA,"16:35",NA
"76","Assist Other Agency / Recovered Vehicle","4835 S. Kimbark",NA,"1/24/14","23:11","UCPD officers recovered an unoccupied car that had been reported stolen to CPD","CPD","D00080","1/24/14",NA,"23:11",NA
"77","Liquor Law Violation","6031 S. Ellis ","SCRH","1/25/14","02:58","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00081","1/25/14",NA,"02:30",NA
"78","Information","1500 E. 53rd St.",NA,"1/25/14","09:59","Woman reported lost wallet","Closed","D00082","1/24/14",NA,"17:55",NA
"79","Information","1212 E. 59th St. ","Ida Noyes","1/25/14","12:12","Crash bar on main entrance door was damaged","Closed","D00083","1/25/14",NA,"01:30","09:15"
"80","Information","56th between Hyde Park & Everett",NA,"1/25/14","16:31","Well-being check / Resident contacted in person by UCPD and DOC / Individual declined assistance and was advised to recontact UCPD if necessary","Closed","D00084","1/25/14",NA,"16:31",NA
"81","Attempt Theft from Person","1225 E. 60th St. ","Public Way","1/26/14","12:40","Two males attempted to snatch a cell phone from the hand of a victim walking on the sidewalk / Suspects fled without taking property / Victim claimed no physical injury and declined medical attention","Open","D00085","1/26/14",NA,"11:45",NA
"82","Information","5721 S. Maryland ","Comer Hospital","1/26/14","12:16","Disturbance involving parents of a patient / Peace restored","Closed","D00086","1/26/14",NA,"12:15",NA
"83","Medical Call","5709 S. Ellis ","Snell Hall","1/26/14","13:35","Ill individual transported to ER for evaluation and treatment","Closed","D00087","1/26/14",NA,"13:30",NA
"84","Information","6019 S. Ingleside",NA,"1/26/14","21:29","Domestic disturbance / Verbal disagreement / Peace restored","Closed","D00088","1/26/14",NA,"21:29",NA
"85","Theft","5758 S. Maryland ","DCAM","1/28/14","13:23","Unknown person took wallet from victim's handbag, possibly on the elevator","Open","D00089","1/28/14",NA,"13:15","13:20"
"86","Found Property","6054 S. Drexel",NA,"1/28/14","17:07","Wallet found on UC Shuttle bus turned over to UCPD for safekeeping / Owner notified","Closed","D00090","1/28/14",NA,"17:07",NA
"87","Information / Armed Robbery","55th between Kenwood & Dorchester",NA,"1/28/14","17:58","Two men armed with a handgun took currency and cell phones from retail establishment / CPD case HX130733","CPD","D00091","1/28/14",NA,"17:50",NA
"88","Lost Property","5730 S. Drexel ","Comer","1/28/14","18:47","Visitor lost cell phone in hospital","Closed","D00092","1/28/14",NA,"14:00","15:00"
"89","Information / Theft","Woodlawn between 61st & 62nd",NA,"1/29/14","19:47","Unknown person took cell phone from parcel left in unsecured vestibule of off-campus private residence / CPD case","CPD","D00093","1/29/14",NA,"09:00","19:45"
"90","Theft","901 E. 58th St. ","Mitchell ER","1/30/14","07:53","Unknown person took cell phone and glasses from patient's room","Open","D00094","1/30/14",NA,"00:30","07:15"
"91","Theft","1131 E. 57th St. ","Mandel Hall","1/30/14","08:08","Unknown person took a laptop computer, iPhone and wallet from an unattended back pack","Open","D00095","1/29/14",NA,"19:20","22:15"
"92","Information","1155 E. 60th St. ","Harris School","1/30/14","10:44","Report of lost UPS parcel containing an iPad","Open","D00096","1/21/14",NA,"15:00",NA
"93","Information","61st & Woodlawn",NA,"1/30/14","12:55","Report of lost wallet","Closed","D00097","1/29/14",NA,"19:30","20:30"
"94","Information","5514 S. Blackstone ","Blackstone Villa","1/31/14","02:49","Ill person transported to ER By CFD EMS","Closed","D00098","1/31/14",NA,"02:49",NA
"95","Information","5000 S. Cornell",NA,"1/31/14","09:27","UCPD officer pursued a car reported stolen to CPD / Terminated pursuit at 47th and Lake Shore for safety considerations","Closed","D00099","1/31/14",NA,"09:27",NA
"96","Non-Criminal / Damage to Property","900 E. 57th St. ","Knapp Center","1/31/14","15:38","8 x 4 window shattered / Cause unknown at this time","Open","D00100","1/30/14",NA,"14:45",NA
"97","Information","5815 S. Maryland ","Mitchell Hospital","1/31/14","16:21","Patient complained of rough treatment  while being examined by a staff member","Closed","D00101","1/28/14",NA,"10:00",NA
"98","Information / Mental Health Transport","54th between Harper & Lake Park",NA,"1/31/14","19:07","Individual transported to hospital for evaluation and treatment","Closed","D00102","1/31/14",NA,"19:07",NA
"99","Information","901 E. 58th St. ","Mitchell ER","2/1/14","05:50","Patient in ER was using iPhone to video staff and other patients in treatment area and refused to cease activity when told to do so by staff / Ceased activity and deleted images after UCPD responded","Closed","D00103","2/1/14",NA,"03:25",NA
"100","Fire Alarm","5219 S. Harper ","UC Office Building","2/1/14","16:23","Faulty sprinkler head in garage triggered fire alarm / CFD responded","Closed","D00104","2/1/14",NA,"16:23",NA
"101","Information","54th between University & Woodlawn",NA,"2/1/14","18:12","Disturbance with ex-boyfriend in off-campus apartment / Peace restored","Closed","D00105","2/1/14",NA,"18:10",NA
"102","Noise Complaint","5625 S. University ","Fraternity House","2/2/14","01:05","Complaint of excessive noise from a party / Party terminated / Peace restored","Closed","D00106","2/2/14",NA,"01:05",NA
"103","Information","Ingleside between 54th & 55th",NA,"2/2/14","19:09","Off campus dispute between mother and daughter / Peace restored","Closed","D00107","2/2/14",NA,"18:30",NA
"104","Information / Traffic Accident","947 E. 58th St. ","Construction Area","2/3/14","10:28","Truck struck a light pole knocking it to the ground / Traffic Accident Report MVA00203","Closed","D00108","2/3/14",NA,"10:25",NA
"105","Non-Criminal / Damage to Property","1009 E. 57th St.",NA,"2/3/14","14:21","Side view mirror of car parked on the street was damaged / Cause unknown","Closed","D00109","2/3/14",NA,"05:45",NA
"106","Lost Property","5815 S. Maryland ","Mitchell Hospital","2/3/14","15:04","Staff member reports losing his credit card","Closed","D00110","1/30/14","2/3/14","12:00","14:00"
"107","Public Peace Violation","5917 S. Cottage Grove",NA,"2/3/14","15:13","UCPD officer arrested a man standing in the middle of the roadway, panhandling, disrupting traffic and creating a hazardous situation","Arrest","D00111","2/3/14",NA,"15:13",NA
"108","Found Property","5815 S. Maryland ","Mitchell Hospital","2/3/14","16:25","Staff member found a kitchen knife and razor blades among patient's belongings / Inventoried by UCPD for safekeeping","Closed","D00112","2/3/14",NA,"16:10",NA
"109","Theft","5721 S. Maryland ","Comer Hospital","2/3/14","19:36","Unknown person took unattended cell phone from desk top in unsecured area","Open","D00113","2/3/14",NA,"17:50",NA
"110","Possession of Controlled Substance","4900 S. Lake Park",NA,"2/4/14","01:01","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for possession of a controlled substance","Arrest","D00114","2/4/14",NA,"01:01",NA
"111","Injured Person","6054 S. Drexel ","UCPD HQ","2/4/14","12:13","Staff member slipped on wet floor causing pain to lower back / Declined medical treatment at the time","Closed","D00115","2/4/14",NA,"09:20",NA
"112","Theft","5640 S. Ellis ","Research Institutes - Construction Area","2/4/14","12:54","Unknown person took unattended and unsecured cell phone and wallet from construction area","Open","D00116","2/4/14",NA,"10:00","11:30"
"113","Theft","5730 S. Drexel ","Comer Hospital","2/4/14","14:21","Cell phone taken from unattended and unsecured purse in 4th floor reception area","Open","D00117","2/4/14",NA,"06:45","12:00"
"114","Theft","5730 S. Drexel ","Comer Hospital","2/4/14","14:43","Unattended cell phone taken from desk top on 4th floor","Open","D00118","2/4/14",NA,"13:00","14:40"
"115","Lost Property","55th & Cornell to 57th & Woodlawn",NA,"2/4/14","16:04","Man reports losing wallet while walking to campus","Closed","D00120","2/3/14",NA,"11:30","12:00"
"116","Theft","5700 S. Maryland ","CCD","2/4/14","16:17","Laptop computer taken from desk top in office","Open","D00121","2/4/14",NA,"13:20","14:30"
"117","Domestic Battery","5730 S. Drexel ","Comer Hospital","2/5/14","01:09","During the course of an argument male struck girlfriend with his fist and fled before arrival of police / Victim declined to prosecute suspect","Ex. Cleared","D00122","2/5/14",NA,"00:50",NA
"118","Information / Assault","1111 E. 60th St. ","Law School Parking Lot","2/5/14","10:30","In the course of a verbal disagreement one man was threatened by another with bodily harm / No physical contact involved / CPD case HX139781","CPD","D00123","2/5/14",NA,"08:00",NA
"119","Information","6054 S. Drexel ","UCPD","2/5/14","16:25","Inter-agency confidential report","Closed","D00124","2/5/14",NA,"16:25",NA
"120","Information / Damage to Vehicle","901 E. 58th St. ","Public Way","2/5/14","16:45","Minor damage to UC owned vehicle reported","Closed","D00125","2/5/14",NA,"16:30",NA
"121","Warrant Arrest","6000 S. Stony Island",NA,"2/5/14","18:49","Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the subject on a warrant from the IL Dept. of Corrections","Arrest","D00126","2/5/14",NA,"18:49",NA
"122","Recovered Motor Vehicle","60th at Ellis",NA,"2/5/14","19:58","Vehicle struck two cars parked on the street / Witnesses saw occupants flee on foot / UCPD officers discovered the vehicle had been reported stolen to CPD","Closed","D00127","2/5/14",NA,"19:50",NA
"123","Assist Other Agency / Fire","1370 E. 53rd St.",NA,"2/5/14",NA,"UCPD officers assisted CFD and CPD with traffic control at the scene of a fire in an off-campus mixed use building","Closed","D00128","2/5/14",NA,"21:13",NA
"124","Lost Property","5815 S. Maryland ","Mitchell Hospital","2/6/14","04:17","Patient reports loss of cell phone after transferring rooms","Closed","D00129","2/5/14","2/6/14","12:00","01:00"
"125","Harassment by Electronic Means","6045 S. Kenwood",NA,"2/6/14","10:12","Individual reported receipt of harassing email","Open","D00130","1/22/14","2/5/14","10:45","13:10"
"126","Information","6054 S. Drexel ","UCPD","2/6/14","14:21","Information received from another law enforcement agency relating to possible threats","Open","D00131","2/6/14",NA,"14:21",NA
"127","Found Property","5300 S. Cornell",NA,"2/6/14","20:21","Individual found iPhone on the sidewalk / Turned over to UCPD for safekeeping","Closed","D00132","2/6/14",NA,"20:10",NA
"128","Information / Armed Robbery","5048 S. Cornell",NA,"2/7/14","00:17","Two males, one armed with a knife, took cash from gas station attendant / CPD case HX141897","CPD","D00133","2/6/14",NA,"23:45",NA
"129","Information","6054 S. Drexel ","UCPD","2/7/14","14:59","Individual sought information regarding a domestic situation / Provided with contacts and resources","Closed","D00134","2/7/14",NA,"14:59",NA
"130","Theft","5530 S. Ellis ","Ratner AC","2/7/14","16:39","Unknown person took iPhone from secured locker in women's locker room","Open","D00135","2/7/14",NA,"13:00","15:00"
"131","Theft","5530 S. Ellis ","Ratner AC","2/7/14","16:41","Unknown person took ring from a gym bag in women's locker room while the victim was momentarily distracted","Open","D00136","2/5/14",NA,"11:00",NA
"132","Information / Traffic Accident","6100 S. Woodlawn",NA,"2/7/14","17:07","UC owned vehicle was struck in rear in minor property damage accident / MVA00206","Closed","D00137","2/7/14",NA,"17:00",NA
"133","Battery","1055 E. 55th St. ","7-10 Lanes","2/7/14","23:34","Three unknown females struck two females with their fists in an apparent unprovoked attack / No injuries reported / Medical attention declined / Victim refused to prosecute known offender","Ex. Cleared","D00138","2/7/14",NA,"23:34",NA
"134","Information / Battery","5225 S. Harper ","Hotel","2/9/14","00:53","Male subject arrested for battery of a CPD officer / CPD case","CPD","D00139","2/9/14",NA,"00:53",NA
"135","Liquor Law Violation","5640 S. University ","Bartlett Commons","2/9/14","02:06","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00140","2/9/14",NA,"02:06",NA
"136","Criminal Damage to Property","5640 S. University ","Bartlett Commons","2/9/14","14:15","Wall in washroom stall was damaged by unknown person(s)","Open","D00142","2/9/14",NA,"12:00","14:10"
"137","Possession of Cannabis","5500 S. Greenwood",NA,"2/9/14","19:45","Subsequent to a traffic violation UCPD officer arrested a motorist for possession of marijuana","Arrest","D00143","2/9/14",NA,"19:45",NA
"138","Traffic Violation","5100 S. Cornell",NA,"2/9/14","21:47","UCPD officer arrested a motorist for driving without a valid driver's license and eluding police","Arrest","D00144","2/9/14",NA,"21:47",NA
"139","Criminal Trespass to Land","5758 S. Maryland ","DCAM","2/10/14","13:50","Individual was arrested for trespass by UCPD officer after ignoring repeated warnings","Arrest","D00145","2/10/14",NA,"13:45",NA
"140","Found Property","5900 S. Woodlawn",NA,"2/10/14","15:20","A 10"" knife and sheath found on the public way / Turned over to UCPD for safekeeping","Closed","D00146","2/10/14",NA,"14:45",NA
"141","Injured Person","5550 S. University ","Crown Field House","2/10/14","22:04","Man injured his left arm while playing basketball / Transported to ER by CFD EMS","Closed","D00147","2/10/14",NA,"21:50",NA
"142","Assist Other Agency","6300 S. Dorchester",NA,"2/11/14","16:04","UCPD officer assisted CPD in the arrest of an individual attempting to elude police / CPD case","CPD","D00148","2/11/14",NA,"16:04",NA
"143","Found Narcotics","5815 S. Maryland ","Mitchell Hospital","2/11/14","15:47","Hospital staff member found a syringe among patient's possessions / Confiscated and properly disposed of in hospital container","Closed","D00149","2/11/14",NA,"15:30",NA
"144","Theft","5758 S. Maryland ","DCAM","2/11/14","14:00","Suspect detained by UCM Public Safety officers and arrested by UCPD officer after taking an unattended iPhone from desk in office","Arrest","D00150","2/11/14",NA,"14:00",NA
"145","Information","1009 E. 57th St. ","Snell-Hitchcock","2/11/14","20:05","Unknown person walked into room looking for a study group / Left after being informed no study group was meeting at that location","Closed","D00151","2/11/14",NA,"20:00",NA
