"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"761","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: mies campus: carmen hall","60 east 32nd street",NA,NA,2016-05-26 01:23:00,"housing notified notes: iitpsd responded to carmen hall for an emergency medical transport of an intoxicated iit student.","iitpsd responded to carmen hall for an emergency medical transport of an intoxicated iit student.","MEDICAL INCIDENT","41.8366771,-87.6246551",41.8366771,-87.6246551
"762","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-05-26 07:45:00,"closed – no further action possible notes: iitpsd responded to msv for an activated fire alarm. it was later found to be a false alarm.   thank you","iitpsd responded to msv for an activated fire alarm. it was later found to be a false alarm. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"763","trespassing : bar notice","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-05-25 00:00:00,"closed – no further action possible notes: iitpsd responded to mtcc for a trespassing report and bar notice.   thank you","iitpsd responded to mtcc for a trespassing report and bar notice. thank you","TRESPASS","41.8330588,-87.623592",41.8330588,-87.623592
"764","administrative information","illinois institute of technology: mies campus: michigan",NA,NA,NA,2016-05-24 11:00:00,"closed – no further action possible notes: iitpsd responded to a report of unlawful entry to a staff members vehicle.   thank you","iitpsd responded to a report of unlawful entry to a staff members vehicle. thank you","TRESPASS","NA",NA,NA
"765","accident : motor vehicle","illinois institute of technology: mies campus: a2 lot","3040 s wabash","41.838987","-87.626262",2016-05-23 16:45:00,"closed pending further information notes: a vehicle was struck behind keating gym in the a2 parking area.   thank you","a vehicle was struck behind keating gym in the a2 parking area. thank you","ACCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"766","alarm : fire","illinois institute of technology: mies campus: hermann hall","3241 south federal street",NA,NA,2016-05-19 10:00:00,"closed – no further action possible notes: iitpsd responded to hermann hall for an activated fire alarm. it was later found to be a false alarm.","iitpsd responded to hermann hall for an activated fire alarm. it was later found to be a false alarm.","ALARM","41.8356669,-87.6283867",41.8356669,-87.6283867
"767","assist other agency/department","illinois institute of technology: mies campus: street locations: state","35th   and  south state str",NA,NA,2016-05-20 15:50:00,"police notified notes: iitpsd assisted cpd with a shooting that happened off campus near 35th and state street. none of the victims were associated with the iit community.   thank you","iitpsd assisted cpd with a shooting that happened off campus near 35th and state street. none of the victims were associated with the iit community. thank you","WEAPON","41.8310086,-87.6266135",41.8310086,-87.6266135
"768","larceny/theft : other","illinois institute of technology: mies campus","e 31st street and south state","41.837268","-87.626259",2016-05-18 15:47:00,"cleared – no further action notes: iitpsd responded to a theft call near the a4 parking lot involving the general public.   thank you","iitpsd responded to a theft call near the a4 parking lot involving the general public. thank you","THEFT","41.8382962,-87.6265929",41.8382962,-87.6265929
"769","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: mies campus: street locations",NA,NA,NA,2016-05-13 00:10:00,"cleared – no further action notes: iitpsd responded to the 3200 block of south state street for an intoxicated member of the general public.","iitpsd responded to the 3200 block of south state street for an intoxicated member of the general public.","DISTURBANCE","NA",NA,NA
"770","accident : motor vehicle","illinois institute of technology: mies campus: street locations","33rd   and  south dearborn str",NA,NA,2016-05-13 22:50:00,"police notified notes: iitpsd responded to 33rd and dearborn for a hit and run motor vehicle accident involving members of the general public.   thank you","iitpsd responded to 33rd and dearborn for a hit and run motor vehicle accident involving members of the general public. thank you","ACCIDENT","41.8571053,-87.6283314",41.8571053,-87.6283314
"771","larceny/theft : shoplifting","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-05-11 15:36:00,"police notified notes: iitpsd responded on campus for a theft at 7-eleven store by members of the general public.","iitpsd responded on campus for a theft at 7-eleven store by members of the general public.","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"772","damage to property","illinois institute of technology: mies campus: street locations","3201 south state street",NA,NA,2016-05-11 23:45:00,"facilities notified notes: iitpsd discovered graffiti outside of the mtcc on a green line support beam.   thank you","iitpsd discovered graffiti outside of the mtcc on a green line support beam. thank you","DAMAGE TO PROPERTY","41.8356712,-87.6258154",41.8356712,-87.6258154
"773","utility incident : water","illinois institute of technology: mies campus: gunsaulus hall","3140 south michigan ave",NA,NA,2016-05-10 05:25:00,"housing notified notes: iitpsd responded to gunsaulus hall for a water leak.   thank you","iitpsd responded to gunsaulus hall for a water leak. thank you","UTILITY INCIDENT","41.837081,-87.623923",41.837081,-87.623923
"774","well being check","illinois institute of technology: mies campus: carmen hall","60 east 32nd street",NA,NA,2016-05-09 08:38:00,"housing notified notes: iitpsd notified housing professional staff of a well being check requested for a parent of an iit student.   thank you","iitpsd notified housing professional staff of a well being check requested for a parent of an iit student. thank you","WELL BEING CHECK","41.8366771,-87.6246551",41.8366771,-87.6246551
"775","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-05-06 11:50:00,"closed – no further action possible notes: iitpsd responded to msv for an activated fire alarm. it was later found to be a false alarm.","iitpsd responded to msv for an activated fire alarm. it was later found to be a false alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"776","injured/sick person : report only","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-05-06 14:55:00,"facilities notified notes: an iit student sustained a minor finger laceration at kent college of law","an iit student sustained a minor finger laceration at kent college of law","MEDICAL INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"777","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-05-06 20:28:00,"cleared – no further action notes: iitpsd responded to msv north hall for an activated fire alarm. the cause was found to be smoldering popcorn. no flame was present.","iitpsd responded to msv north hall for an activated fire alarm. the cause was found to be smoldering popcorn. no flame was present.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"778","alarm : fire","illinois institute of technology: mies campus:mccormick student village","3241 south wabash ave",NA,NA,2016-05-06 22:25:00,"cleared – no further action notes: iitpsd responded to msv graduate hall for a fire alarm. the fire alarm was found to be a false alarm.","iitpsd responded to msv graduate hall for a fire alarm. the fire alarm was found to be a false alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"779","alarm : fire","illinois institute of technology: mies campus:mccormick student village","3241 south wabash ave",NA,NA,2016-05-06 23:10:00,"cleared – no further action notes: iitpsd responded to msv for an active fire alarm. investigation determined the alarm to be a false alarm.","iitpsd responded to msv for an active fire alarm. investigation determined the alarm to be a false alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"780","drug/narcotic offense","illinois institute of technology: mies campus: state street village: ssv south","3353 south state",NA,NA,2016-05-08 08:15:00,"cleared – no further action notes: iitpsd responded to ssv south for a narcotics violation.   thank you","iitpsd responded to ssv south for a narcotics violation. thank you","NARCOTICS","41.8332027,-87.6262228",41.8332027,-87.6262228
"781","burglary : forcible entry w/larceny","illinois institute of technology: mies campus: 31st street","31st   and  south state str",NA,NA,2016-05-05 00:41:00,"police notified notes: iitpsd responded to the 3100 block of s. state street for a forcible entry w/ larceny to vehicle report.","iitpsd responded to the 3100 block of s. state street for a forcible entry w/ larceny to vehicle report.","THEFT","41.8382957,-87.6267733",41.8382957,-87.6267733
"782","robbery : strong-arm hand/fists/feet","illinois institute of technology: mies campus: street locations: 33rd street","3340 south michigan ave",NA,NA,2016-05-05 13:00:00,"police notified notes: iitpsd responded to 33rd/lasalle for a strong arm robbery.","iitpsd responded to 33rd/lasalle for a strong arm robbery.","ROBBERY","41.8336361,-87.6236964",41.8336361,-87.6236964
"783","larceny/theft : other","illinois institute of technology: mies campus: galvin library","35 west 33rd street",NA,NA,2016-05-05 13:45:00,"cleared – no further action notes: iitpsd took a theft report from a staff member at galvin library.","iitpsd took a theft report from a staff member at galvin library.","THEFT","41.8346762,-87.6275327",41.8346762,-87.6275327
"784","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2016-05-05 16:25:00,"cleared – no further action notes: iitpsd responded to the tower for a non-emergency medical transport to mercy.","iitpsd responded to the tower for a non-emergency medical transport to mercy.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"785","alarm : smoke","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-05-05 16:25:00,"cleared – no further action notes: iitpsd responded to msv lewis hall for a fire alarm   thank you","iitpsd responded to msv lewis hall for a fire alarm thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"786","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-05-04 12:30:00,"closed – no further action possible notes: iitpsd responded to msv for an activated fire alarm. the cause was found to be an overheating hair dryer. no flame was present.   thank you","iitpsd responded to msv for an activated fire alarm. the cause was found to be an overheating hair dryer. no flame was present. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"787","trespassing : bar notice","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-05-03 23:25:00,"cleared – no further action notes: iitpsd reported to mtcc for a call about trespassing and issued a bar notice to a former student.   thank you","iitpsd reported to mtcc for a call about trespassing and issued a bar notice to a former student. thank you","TRESPASS","41.8330588,-87.623592",41.8330588,-87.623592
"788","utility incident : elevator : entrapment","illinois institute of technology: mies campus: state street village","3301 south state",NA,NA,2016-05-02 20:40:00,"cleared – no further action notes: iitpsd responded to ssv middle for an elevator malfunction involving a student.   thank you","iitpsd responded to ssv middle for an elevator malfunction involving a student. thank you","UTILITY INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
"789","injured/sick person : report only : student","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-04-30 01:28:00,"housing notified notes: iitpsd responded to msv for an intoxicated student report.","iitpsd responded to msv for an intoxicated student report.","DISTURBANCE","41.8355909,-87.6249574",41.8355909,-87.6249574
"790","larceny/theft : other","illinois institute of technology: mies campus: crown hall","3360 south state street",NA,NA,2016-04-30 13:00:00,"closed – no further action possible notes: iitpsd met with an iit student and took a theft report for an incident that occurred at crown hall.","iitpsd met with an iit student and took a theft report for an incident that occurred at crown hall.","THEFT","41.8332815,-87.6272979",41.8332815,-87.6272979
"791","suspicious person","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-05-01 11:17:00,"police notified notes: iitpsd responded to 7-eleven after a member of the general public was observed conducting suspicious activity inside mtcc.","iitpsd responded to 7-eleven after a member of the general public was observed conducting suspicious activity inside mtcc.","SUSPICION","41.8330588,-87.623592",41.8330588,-87.623592
"792","disturbance","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-05-01 14:39:00,"police notified notes: iit psd received a report of a disturbance at an off-campus location, cpd notified","iit psd received a report of a disturbance at an off-campus location, cpd notified","DISTURBANCE","41.8791377,-87.6422057",41.8791377,-87.6422057
"793","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-05-01 16:25:00,"information only notes: iit psd observed a uniformed and armed chicago police officer in kent college of law.","iit psd observed a uniformed and armed chicago police officer in kent college of law.","OTHER","41.8791377,-87.6422057",41.8791377,-87.6422057
"794","damage to property","illinois institute of technology: mies campus: crown hall","3360 south state street",NA,NA,2016-05-01 17:10:00,"facilities notified notes: iitpsd reported to crown hall for a property damage report.","iitpsd reported to crown hall for a property damage report.","DAMAGE TO PROPERTY","41.8332815,-87.6272979",41.8332815,-87.6272979
"795","harassment : phone","illinois institute of technology: mies campus: farr hall","3300 south michigan ave",NA,NA,2016-05-01 19:00:00,"housing notified notes: iitpsd responded to farr hall for a harassment report for an iit student.   thank you","iitpsd responded to farr hall for a harassment report for an iit student. thank you","DISTURBANCE","41.8346808,-87.6233541",41.8346808,-87.6233541
"796","utility incident : water","illinois institute of technology: mies campus: galvin library","35 west 33rd street",NA,NA,2016-06-29 20:52:00,"facilities notified notes: iitpsd responded to galvin library for a report of a natural gas smell. upon investigation it was found to be steam emitting from the ground.   thank you","iitpsd responded to galvin library for a report of a natural gas smell. upon investigation it was found to be steam emitting from the ground. thank you","UTILITY INCIDENT","41.8346762,-87.6275327",41.8346762,-87.6275327
"797","alarm","illinois institute of technology: mies campus: life science research","35 west 34th street",NA,NA,2016-06-28 14:30:00,"closed – no further action possible notes: iitpsd responded to a fire alarm at lsr.   thank you","iitpsd responded to a fire alarm at lsr. thank you","ALARM","41.8328143,-87.628466",41.8328143,-87.628466
"798","larceny/theft","illinois institute of technology: off campus location",NA,NA,NA,2016-06-24 11:00:00,"closed – no further action possible notes: iitpsd took a delayed theft report involving a member of the iit community at an off campus location.","iitpsd took a delayed theft report involving a member of the iit community at an off campus location.","THEFT","NA",NA,NA
"799","sex offenses : sexual assault","illinois institute of technology: mies campus: state street village","3301 south state",NA,NA,2016-06-24 15:20:00,"under investigation notes: iitpsd took a delayed sexual assault report involving iit students.","iitpsd took a delayed sexual assault report involving iit students.","SEXUAL CRIME","41.8346518,-87.6264893",41.8346518,-87.6264893
"800","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-06-24 23:58:00,"cleared – no further action notes: iitpsd responded to msv for an active fire alarm.","iitpsd responded to msv for an active fire alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"801","assist other agency/department","illinois institute of technology: other: bp amoco 31st street","31st   and  south michigan ave",NA,NA,2016-06-25 13:30:00,"police notified notes: iitpsd assisted the chicago police with an armed robbery that occurred at the bp gas station located at 31st/michigan. this incident was non-iit related.","iitpsd assisted the chicago police with an armed robbery that occurred at the bp gas station located at 31st/michigan. this incident was non-iit related.","ROBBERY","41.8383512,-87.6234639",41.8383512,-87.6234639
"802","alarm : fire","illinois institute of technology: mies campus: state street village","3301 south state",NA,NA,2016-06-26 01:44:00,"cleared – no further action notes: iitpsd responded to ssv for an active fire alarm.","iitpsd responded to ssv for an active fire alarm.","ALARM","41.8346518,-87.6264893",41.8346518,-87.6264893
"803","alarm : fire","illinois institute of technology: mies campus:: state street village","3301 south state",NA,NA,2016-06-26 16:45:00,"facilities notified notes: iitpsd responded to a fire alarm at ssv.   thank you","iitpsd responded to a fire alarm at ssv. thank you","ALARM","41.8346518,-87.6264893",41.8346518,-87.6264893
"804","accident","illinois institute of technology: mies campus:: 31st street","31st   and  south wabash ave",NA,NA,2016-06-23 13:00:00,"facilities notified notes: iitpsd responded to the area of 31st/wabash for an accident involving an iit facilities employee.","iitpsd responded to the area of 31st/wabash for an accident involving an iit facilities employee.","ACCIDENT","41.8383211,-87.6251317",41.8383211,-87.6251317
"805","drug/narcotic offense","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-06-23 22:01:00,"housing notified notes: iitpsd responded for a smell of marijuana.   thank you","iitpsd responded for a smell of marijuana. thank you","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"806","injured/sick person : emergency medical transport/ambulance : general public/visitor","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2016-06-22 09:00:00,"closed – no further action possible notes: iitpsd responded to the iit tower for an emergency medical transport involving a member of the general public.   thank you","iitpsd responded to the iit tower for an emergency medical transport involving a member of the general public. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"807","injured/sick person","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-06-21 00:35:00,"closed – no further action possible notes: iitpsd responded to kent college of law for a report for an injury sustained by a janitorial employee.","iitpsd responded to kent college of law for a report for an injury sustained by a janitorial employee.","MEDICAL INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"808","suspicious activity","illinois institute of technology: rice campus","201 e loop rd, wheaton, il",NA,NA,2016-06-21 07:50:00,NA,"iitpsd responded to the rear parking lot at rice campus where broken glass was found. thank you","DAMAGE TO PROPERTY","41.8321528,-88.0951898",41.8321528,-88.0951898
"809","injured/sick person : report only : student","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-06-20 01:20:00,"housing notified notes: iitpsd responded to msv for a report of a sick student.","iitpsd responded to msv for a report of a sick student.","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"810","suspicious activity","illinois institute of technology: rice campus","201 e loop rd, wheaton, il",NA,NA,2016-06-20 07:45:00,NA,"iitpsd responded to the rear parking lot where broken glass and tire marks were found.","DAMAGE TO PROPERTY","41.8321528,-88.0951898",41.8321528,-88.0951898
"811","assault-simple : hands/fists/feet","illinois institute of technology: mies campus: street locations: wabash: 3100-3200 south","3200 south",NA,NA,2016-06-20 10:20:00,"cleared – no further action notes: iitpsd responded to farr for a battery to an iit student.","iitpsd responded to farr for a battery to an iit student.","BATTERY","41.8360171,-87.6185608",41.8360171,-87.6185608
"812","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: keating sports center – 3040 s wabash","3040 south wabash ave",NA,NA,2016-06-20 17:20:00,"cleared – no further action notes: iitpsd responded to keating gym for a non-emergency medical transport to mercy hospital for a finger injury.","iitpsd responded to keating gym for a non-emergency medical transport to mercy hospital for a finger injury.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"813","assault-simple : hands/fists/feet","illinois institute of technology: mies campus: street locations: 31st street: east: 45-100","31st   and  south wabash ave",NA,NA,2016-06-20 21:35:00,"cleared – no further action notes: iitpsd responded to 31st street in between wabash and michigan for a battery to two iit students.   thank you","iitpsd responded to 31st street in between wabash and michigan for a battery to two iit students. thank you","BATTERY","41.8383211,-87.6251317",41.8383211,-87.6251317
"814","disturbance","illinois institute of technology: mies campus:: 31st street","31st   and  south wabash ave",NA,NA,2016-06-17 10:00:00,"closed – no further action possible notes: iitpsd responded to 31st and wabash for a disturbance between a staff member and member of the general public.","iitpsd responded to 31st and wabash for a disturbance between a staff member and member of the general public.","DISTURBANCE","41.8383211,-87.6251317",41.8383211,-87.6251317
"815","administrative information","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2016-06-17 20:10:00,"closed pending adtl info notes: iitpsd met with a smith employee at the tower to exchange information.","iitpsd met with a smith employee at the tower to exchange information.","OTHER","41.8313959,-87.6272312",41.8313959,-87.6272312
"816","administrative information","illinois institute of technology: mies campus:: tower","10 west 35th street",NA,NA,2016-06-19 13:10:00,"cleared – no further action notes: iitpsd responded to a call for assistance for a tower tenant.","iitpsd responded to a call for assistance for a tower tenant.","OTHER","41.8313959,-87.6272312",41.8313959,-87.6272312
"817","robbery : strong-arm hand/fists/feet","illinois institute of technology: mies campus: wabash",NA,NA,NA,2016-06-19 22:35:00,"cleared – no further action notes: iitpsd responded to a strong armed roberry of a student that occurred on campus.","iitpsd responded to a strong armed roberry of a student that occurred on campus.","ROBBERY","NA",NA,NA
"818","administrative information","illinois institute of technology: mies campus: 35th street","35th   and  south michigan ave",NA,NA,2016-06-19 22:39:00,"information only notes: iitpsd was informed of a death investigation involving a member of the general public near 35th street and michigan.   thank you","iitpsd was informed of a death investigation involving a member of the general public near 35th street and michigan. thank you","OTHER","41.8310445,-87.6232472",41.8310445,-87.6232472
"819","injured/sick person : report only : student","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-06-15 12:15:00,"closed – no further action possible notes: iitpsd responded to mtcc for a report of a student having an allergic reaction.","iitpsd responded to mtcc for a report of a student having an allergic reaction.","MEDICAL INCIDENT","41.8330588,-87.623592",41.8330588,-87.623592
"820","weapon law violation","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-06-15 16:20:00,"cleared – no further action notes: iipsd responded to 7-11 for a violation of the iit weapons policy.     thank you","iipsd responded to 7-11 for a violation of the iit weapons policy. thank you","WEAPON","41.8330588,-87.623592",41.8330588,-87.623592
"821","larceny/theft : bicycles","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-06-14 13:20:00,"closed – no further action possible notes: iitpsd responded to the mtcc bike rack for a theft report.   thank you","iitpsd responded to the mtcc bike rack for a theft report. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"822","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus:: tower","10 west 35th street",NA,NA,2016-06-13 07:02:00,"cleared – no further action notes: iitpsd responded to the tower located at 10 w. 35th st. for the transport of a tpi staff member.","iitpsd responded to the tower located at 10 w. 35th st. for the transport of a tpi staff member.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"823","harassment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-06-13 19:15:00,"closed pending adtl info notes: iit psd received a report of a harassment complaint between two members of the general public at kent college of law     thank you","iit psd received a report of a harassment complaint between two members of the general public at kent college of law thank you","DISTURBANCE","41.8791377,-87.6422057",41.8791377,-87.6422057
"824","battery-simple : hands/fists/feet","illinois institute of technology: mies campus:tower","10 west 35th street",NA,NA,2016-06-12 17:05:00,"police notified notes: iitpsd responed to a disturbance outside the tower 10 w 35th street involving members of the general public.   thank you","iitpsd responed to a disturbance outside the tower 10 w 35th street involving members of the general public. thank you","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"825","miscellaneous incident","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-06-09 00:45:00,"housing notified notes: iitpsd confiscated  hookah from the msv courtyard.   thank you","iitpsd confiscated hookah from the msv courtyard. thank you","OTHER","41.8355909,-87.6249574",41.8355909,-87.6249574
"826","drug/narcotic offense","illinois institute of technology: mccormick student village","3241 south wabash ave",NA,NA,2016-06-08 14:00:00,"housing notified notes: iitpsd responded to msv for a narcotics report involving a member of the iit community.","iitpsd responded to msv for a narcotics report involving a member of the iit community.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"827","alarm : smoke","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-06-08 22:17:00,"cleared – no further action notes: iitpsd responded to msv 3rd floor lewis hall lounge area for an alarm.   thank you","iitpsd responded to msv 3rd floor lewis hall lounge area for an alarm. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"828","disturbance","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2016-06-06 11:13:00,"cleared – no further action notes: iitpsd responded to a request for a student to be removed from stuart school of business.","iitpsd responded to a request for a student to be removed from stuart school of business.","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"829","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus:tower","10 west 35th street",NA,NA,2016-06-06 14:30:00,"cleared – no further action notes: iitpsd responded to iit tower for an non-emergency medical transport of an iit student.","iitpsd responded to iit tower for an non-emergency medical transport of an iit student.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"830","trespassing : bar notice","illinois institute of technology: mies campus: 32nd street","32nd   and  south federal str",NA,NA,2016-06-06 16:30:00,"police notified notes: iitpsd responded to 32nd and federal for suspicious activity on campus by members of the general public.   thank you","iitpsd responded to 32nd and federal for suspicious activity on campus by members of the general public. thank you","SUSPICION","41.8371687,-87.6271387",41.8371687,-87.6271387
"831","alarm : trouble","illinois institute of technology: mies campus: life science","3105 south dearborn street",NA,NA,2016-06-04 07:30:00,"facilities notified notes: iitpsd responded to the life science’s building for an activated trouble alarm.","iitpsd responded to the life science’s building for an activated trouble alarm.","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"832","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-06-04 18:45:00,"cleared – no further action notes: iitpsd responded to kent college of law to assist a student to retrieve her property   thank you","iitpsd responded to kent college of law to assist a student to retrieve her property thank you","DAMAGE TO PROPERTY","41.8791377,-87.6422057",41.8791377,-87.6422057
"833","damage to property","illinois institute of technology: mies campus: academic/administrative buildings:technology park","3424 south state street",NA,NA,2016-06-02 08:30:00,"closed – no further action possible notes: iitpsd responded to tech park for a damage to property report.   thank you","iitpsd responded to tech park for a damage to property report. thank you","DAMAGE TO PROPERTY","41.8325159,-87.6271296",41.8325159,-87.6271296
"834","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: a2 lot","3040 s wabash","41.838987","-87.626262",2016-05-31 11:30:00,"closed – no further action possible notes: iitpsd took a delayed theft report from a staff member.   thank you","iitpsd took a delayed theft report from a staff member. thank you","THEFT","41.838997,-87.6255751",41.838997,-87.6255751
"835","injured/sick person : report only","illinois institute of technology: rice campus","201 e loop rd, wheaton, il",NA,NA,2016-07-28 14:00:00,"cleared – no further action notes: iitpsd was notified of an injured employee   thank you","iitpsd was notified of an injured employee thank you","MEDICAL INCIDENT","41.8321528,-88.0951898",41.8321528,-88.0951898
"836","damage to property","illinois institute of technology: mies campus: general parking locations: d5 lot","e 34th and south wabash","41.831964","-87.625441",2016-07-27 07:30:00,"closed – no further action possible notes: iitpsd took a damage to property report involving a member of the iit community.","iitpsd took a damage to property report involving a member of the iit community.","DAMAGE TO PROPERTY","41.8328558,-87.6250128",41.8328558,-87.6250128
"837","damage to property","illinois institute of technology: mies campus: other: glancey field / michigan ave",NA,NA,NA,2016-07-27 12:00:00,"closed – no further action possible notes: iitpsd took a delayed damage to property report involving a member of the general public.   thank you","iitpsd took a delayed damage to property report involving a member of the general public. thank you","DAMAGE TO PROPERTY","NA",NA,NA
"838","larceny/theft : other","illinois institute of technology: mies campus: machinery hall","100 west 33rd street",NA,NA,2016-07-26 07:30:00,"closed – no further action possible notes: iitpsd responded to machinery hall for a theft report.   thank you","iitpsd responded to machinery hall for a theft report. thank you","THEFT","41.8348113,-87.6291272",41.8348113,-87.6291272
"839","alarm : trouble","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-07-25 15:50:00,"facilities notified notes:iitpsd responded at for a trouble alarm.   thank you","iitpsd responded at for a trouble alarm. thank you","ALARM","41.8791377,-87.6422057",41.8791377,-87.6422057
"840","robbery : strong-arm hand/fists/feet","illinois institute of technology: off campus location",NA,NA,NA,2016-07-22 13:50:00,"cleared by arrest notes: iitpsd assisted a general public member who was the victim of a strong arm robbery that took place at 35th and the red line. iitpsd detained the offender and turned him over to cpd.","iitpsd assisted a general public member who was the victim of a strong arm robbery that took place at 35th and the red line. iitpsd detained the offender and turned him over to cpd.","ROBBERY","NA",NA,NA
"841","injured/sick person : emergency medical transport/ambulance : employee/staff/faculty","illinois institute of technology: mies campus: street locations: 31st street",NA,NA,NA,2016-07-22 14:00:00,"closed – no further action possible notes: iitpsd took an emergency medical transport report for an iit staff member who fainted.","iitpsd took an emergency medical transport report for an iit staff member who fainted.","MEDICAL INCIDENT","NA",NA,NA
"842","alarm : fire","illinois institute of technology: mies campus: wishnick hall","3255 south dearborn street",NA,NA,2016-07-23 01:36:00,"facilities notified notes: iitpsd responded to wishnick for an active fire alarm","iitpsd responded to wishnick for an active fire alarm","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"843","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-07-24 18:23:00,"cleared – no further action notes: active fire alarm msv.   thank you","active fire alarm msv. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"844","trespassing : criminal trespass to land","illinois institute of technology: mies campus: 31st street",NA,NA,NA,2016-07-21 09:30:00,"police notified notes: iitpsd detained a known offender on iit property. the offender was then turned over to cpd.","iitpsd detained a known offender on iit property. the offender was then turned over to cpd.","TRESPASS","NA",NA,NA
"845","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: moffett campus","6502 south archer rd. bedford park, il",NA,NA,2016-07-21 09:47:00,"police notified notes: iitpsd responded to the entrance of moffett campus to assist a member of the general public with a medical emergency.   thank you","iitpsd responded to the entrance of moffett campus to assist a member of the general public with a medical emergency. thank you","MEDICAL INCIDENT","41.773019,-87.817757",41.773019,-87.817757
