"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"301","disturbance","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-07-03 02:31:00,NA,"iitpsd responded to a call of loud noises coming from a room in carman hall.","DISTURBANCE","41.8366771,-87.6246551",41.8366771,-87.6246551
"302","disturbance","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-07-03 03:02:00,NA,"iitpsd responded to a disturbance and loud noise in gunsaulus hall.","DISTURBANCE","41.837081,-87.623923",41.837081,-87.623923
"303","disturbance","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-07-03 23:25:00,NA,"iitpsd responded to a call of a disturbance involving multiple students drinking alcohol in carman’s front lobby.","DISTURBANCE","41.8366771,-87.6246551",41.8366771,-87.6246551
"304","larceny/theft","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-07-04 04:45:00,NA,"iitpsd responded to a call from the msv front desk about a stolen tablet.","THEFT","41.8355909,-87.6249574",41.8355909,-87.6249574
"305","robbery : strong-arm hand/fists/feet","illinois institute of technology: off campus location",NA,NA,NA,2015-07-04 06:00:00,NA,"an iit student was the victim of a strong arm robbery on the red line.","ROBBERY","NA",NA,NA
"306","injured/sick person : emergency medical transport/ambulance ","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-07-04 17:35:00,NA,"iitpsd responed to a injury of a sodexo employee at the commons","MEDICAL INCIDENT","41.8330588,-87.623592",41.8330588,-87.623592
"307","larceny/theft : bicycles","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-07-05 14:30:00,NA,"iitpsd took a report of a stolen bike. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"308","motor vehicle theft : autos","illinois institute of technology:: street locations: michigan: 3100-3200 south","3200 south",NA,NA,2015-07-01 18:10:00,NA,"iitpsd recovered a stolen vehicle located near 31st/michigan. cpd responded and was able to contact the owner (general public member) who claimed the stolen vehicle.","THEFT","41.8360171,-87.6185608",41.8360171,-87.6185608
"309","robbery : firearm","illinois institute of technology:: off campus location",NA,NA,NA,2015-07-01 20:20:00,NA,"iitpsd took a delayed report of an armed robbery involving an iit community member at an off campus location.","ROBBERY","NA",NA,NA
"310","liquor law violation","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-07-01 20:40:00,NA,"iitpsd responded to ssv north for a report of narcotic use. iitpsd located under aged liquor possession. iitpsd also recovered fake/forged id’s.","NARCOTICS","41.8346518,-87.6264893",41.8346518,-87.6264893
"311","counterfeiting/forgery","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-07-01 20:40:00,NA,"iitpsd responded to ssv north for a report of narcotic use. iitpsd located under aged liquor possession. iitpsd also recovered fake/forged id’s. thank you","NARCOTICS","41.8346518,-87.6264893",41.8346518,-87.6264893
"312","missing person","illinois institute of technology: main campus: wishnick hall","3255 south dearborn street",NA,NA,2015-06-30 01:10:00,NA,"iitpsd discovered an elderly female member of the genereal public that wandered on to campus from a nearby senor housing building.","TRESPASS","41.8395245,-87.6282449",41.8395245,-87.6282449
"313","alarm : fire","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-06-30 07:11:00,NA,"iitpsd responded to mccormick student village, for a report of an activated fire alarm. contractors in the building caused the alarm but no flame was observed.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"314","utility incident : elevator : entrapment","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-06-30 16:00:00,NA,"iitpsd responded to carmen hall for an elevator entrapment. thank you","UTILITY INCIDENT","41.8366771,-87.6246551",41.8366771,-87.6246551
"315","liquor law violation location","illinois institute of technology: main campus: street locations: 33rd street",NA,NA,NA,2015-08-28 23:50:00,NA,"iit responded to the bog after an iit student was observed serving alcohol from a book bag.","LIQUOR LAW VIOLATION","NA",NA,NA
"316","robbery: strong-arm hand/fists/feet location","illinois institute of technology: main campus",NA,NA,NA,2015-08-30 00:20:00,NA,"iitpsd responded to a strong arm robbery of an iit student.","ROBBERY","NA",NA,NA
"317","injured/sick person: non-emergency medical transport location","illinois institute of technology: main campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2015-08-31 08:48:00,NA,"iitpsd assisted a student who slipped and injured himself in the mtcc. thank you","MEDICAL INCIDENT","41.8330588,-87.623592",41.8330588,-87.623592
"318","larceny/theft: shoplifting location","illinois institute of technology: kent campus – 565 w adams","565 west adams street",NA,NA,2015-08-27 14:20:00,NA,"suspected attempted theft from the bookstore at kent college of law.","THEFT","41.8791377,-87.6422057",41.8791377,-87.6422057
"319","larceny/theft: bicycles location","illinois institute of technology: main campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2015-08-27 17:00:00,NA,"iitpsd took a bicycle theft report that occurred earlier in the day.","THEFT","41.8355909,-87.6249574",41.8355909,-87.6249574
"320","larceny/theft: bicycles location","illinois institute of technology: main campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2015-08-26 00:25:00,NA,"an iit student approached iitpsd to report his bike missing from msv.","THEFT","41.8355909,-87.6249574",41.8355909,-87.6249574
"321","fire location","illinois institute of technology: main campus: street locations: wabash: 3000-3100 south","3040 south wabash ave",NA,NA,2015-08-26 17:25:00,NA,"iitpsd located a dumpster on fire outside keating gym. the fire was found to be caused by mixed chemicals in the dumpster. iitpsd and cfd extinguished the fire.","ALARM","41.838997,-87.6255751",41.838997,-87.6255751
"322","alarm: fire location","illinois institute of technology: main campus: academic/administrative buildings: life science – 3105 s dearborn","3105 south dearborn street",NA,NA,2015-08-26 19:10:00,NA,"iitpsd responded to the life science’s building for an activated fire alarm. it was later determined to be a false alarm due to a malfunction with the alarm system. thank you","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"323","larceny/theft: bicycles location","illinois institute of technology: main campus: residential buildings: state street village: ssv north – 3303 s state","3303 south state",NA,NA,2015-08-25 09:45:00,NA,"iitpsd took a report for a stolen bicycle from state street village north.","THEFT","41.8342852,-87.6261837",41.8342852,-87.6261837
"324","alarm: fire location","illinois institute of technology: main campus: residential buildings: mccormick studentvillage – 3241 s wabash","3241 south wabash ave",NA,NA,2015-08-25 10:21:00,NA,"iitpsd responded to mccormick student village for a report of an activated fire alarm. further investigation indicted a false alarm caused by dust, no smoke or flames observed.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"325","larceny/theft: bicycles location","illinois institute of technology: main campus: street locations: 32nd street: west: 1-36state to dearborn","32nd   and  south dearborn str",NA,NA,2015-08-25 15:00:00,NA,"iitpsd took a report of a stolen bicycle.","THEFT","41.8796591,-87.6290452",41.8796591,-87.6290452
"326","injured/sick person: report only: student location","illinois institute of technology: main campus: academic/administrative buildings: hermannhall – 3241 s federal","3241 south federal street",NA,NA,2015-08-25 16:00:00,NA,"iitpsd took a report of an injured student. thank you","MEDICAL INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"327","larceny/theft","illinois institute of technology","3300 south michigan ave",NA,NA,2015-08-24 09:40:00,NA,"iitpsd responded to farr hall to take a theft report for an iit student. thank you","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"328","alarm : fire","illinois institute of technology: main campus: life science","3105 south dearborn street",NA,NA,2015-08-21 01:15:00,NA,"iitpsd responded to a fire alarm at the life sciences building. it was determined to be a false alarm.","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"329","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: hermann hall","3241 south federal street",NA,NA,2015-08-21 11:30:00,NA,"iitpsd provided a non-emergency medical transport for an iit employee to mercy hospital.","MEDICAL INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"330","alarm : smoke","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-08-21 16:12:00,NA,"iitpsd responded to msv for a fire alarm caused by hookah smoke.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"331","well being check","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-08-22 18:30:00,NA,"iitpsd responded to mccormick student village to perform a well-being check on an iit student. thank you","WELL BEING CHECK","41.8355909,-87.6249574",41.8355909,-87.6249574
"332","trespassing : bar notice","illinois institute of technology: main campus:: 33rd street","33rd   and  south state str",NA,NA,2015-08-20 08:30:00,NA,"iitpsd responded to 33rd and state street for a report of indecent behavior by a member of the general public.","DISTURBANCE","41.8346697,-87.6264899",41.8346697,-87.6264899
"333","assault-simple : hands/fists/feet","illinois institute of technology: main campus:: carmen hall","60 east 32nd street",NA,NA,2015-08-20 22:15:00,NA,"iitpsd responded to carmen hall for a physical altercation between two iit students.","BATTERY","41.8366771,-87.6246551",41.8366771,-87.6246551
"334","well being check","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-08-20 22:45:00,NA,"iitpsd responded to msv for a well being check of a student.","WELL BEING CHECK","41.8355909,-87.6249574",41.8355909,-87.6249574
"335","alarm : fire","illinois institute of technology: main campus: life science","3105 south dearborn street",NA,NA,2015-08-21 01:15:00,NA,"iitpsd responded to a fire alarm at the life sciences building. it was determined to be a false alarm. thank you","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"336","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-08-19 12:30:00,NA,"iitpsd provided a non-emergency medical transport to mercy hospital for an iit student. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"337","larceny/theft : other","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-08-17 15:50:00,NA,"theft investigation from student locker at kent college of law.","THEFT","41.8791377,-87.6422057",41.8791377,-87.6422057
"338","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-08-17 20:57:00,NA,"iitpsd responded to an elevator entrapment at kent college of law. thank you","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"339","alarm : fire","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-08-14 12:10:00,NA,"iitpsd responded to mccormick student village for a report of an activated fire alarm. after further inspection no flames or smoke were observed but one sprinkler activated, which caused flooding on the first and second floor of lewis hall.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"340","injured/sick person: employee/staff/faculty","illinois institute of technology: main campus: technology park","3424 south state street",NA,NA,2015-08-14 13:55:00,NA,"iitpsd took a delayed report for a slip and fall accident involving an iit employee at technology park.","MEDICAL INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"341","injured/sick person : report only : employee/staff/faculty","illinois institute of technology: main campus: technology park","3424 south state street",NA,NA,2015-08-14 14:35:00,NA,"iitpsd responded to technology park for a report of an employee fainting. chicago fire department was notified.","MEDICAL INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"342","robbery : strong-arm hand/fists/feet","illinois institute of technology: off campus location","35th   and  south michigan ave",NA,NA,2015-08-14 14:45:00,NA,"iitpsd took a delayed report by an iit student of a strong-arm robbery that occurred off campus near 35th and michigan ave. on thursday, 08/13/15.","ROBBERY","41.8310445,-87.6232472",41.8310445,-87.6232472
"343","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: main campus: life science","3105 south dearborn street",NA,NA,2015-08-14 18:05:00,NA,"iitpsd responded to life science for a lab incident. thank you","OTHER","41.8395245,-87.6282449",41.8395245,-87.6282449
"344","investigation","illinois institute of technology: rice campus","201 e loop rd, wheaton, il",NA,NA,2015-08-13 13:00:00,NA,"iitpsd took a report of possible illegal drug activity on the rice campus property involving members of the general public. thank you","NARCOTICS","41.8321528,-88.0951898",41.8321528,-88.0951898
"345","disturbance","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-08-12 16:20:00,NA,"iitpsd responded to the iit tower for a disturbance between two members of the general public.","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"346","disturbance","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-08-12 17:45:00,NA,"iitpsd responded to the stuart building for a disturbance involving two iit students. thank you","DISTURBANCE","41.8387343,-87.6273991",41.8387343,-87.6273991
"347","accident","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-08-11 10:58:00,NA,"iitpsd responded to a reported trip and fall incident outside of the tower.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"348","injured/sick person","illinois institute of technology",NA,NA,NA,2015-08-11 11:50:00,NA,"iitpsd transported iit student to mercy hospital for non emergency medical treatment.","MEDICAL INCIDENT","NA",NA,NA
"349","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus:: tower","10 west 35th street",NA,NA,2015-08-11 18:30:00,NA,"iitpsd responded to the iit tower for a non-emergency medical transport to mercy hospital for an iit student. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"350","injured/sick person : report only","illinois institute of technology: main campus: street locations",NA,NA,NA,2015-08-10 18:30:00,NA,"iitpsd observed an iit student faint and fall to the ground. no medical attention need. thank you","MEDICAL INCIDENT","NA",NA,NA
"351","larceny/theft : shoplifting","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-08-08 16:30:00,NA,"iitpsd responded to 7 eleven for a theft thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"352","injured/sick person ","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-08-06 14:40:00,NA,"a member of the general public sustained an abrasion to the right leg at kent college of law.","MEDICAL INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"353","alarm : fire","illinois institute of technology:technology park","3424 south state street",NA,NA,2015-08-06 20:30:00,NA,"iitpsd responded to technology business center for an activated fire alarm. no smoke or fire was observed. thank you","ALARM","41.8325159,-87.6271296",41.8325159,-87.6271296
"354","damage to property","illinois institute of technology: main campus: 3424 s state","3424 south state",NA,NA,2015-08-05 17:15:00,NA,"iitpsd responded to tech park central for a damage to property report. thank you","DAMAGE TO PROPERTY","41.8325159,-87.6271296",41.8325159,-87.6271296
"355","motor vehicle theft : autos","illinois institute of technology: main campus: 30th street","2939 south state","41.83979","-87.626358",2015-08-04 00:35:00,NA,"iitpsd responded to the a1 parking lot for a vehicle that was stolen.","THEFT","41.8410156,-87.6266503",41.8410156,-87.6266503
"356","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-08-04 17:30:00,NA,"iitpsd responded to keating sports center for an non-emergency medical transport for a iit student. thank you","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"357","larceny/theft","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-08-03 13:56:00,NA,"iitpsd responded to a theft in progress of a bicycle. thank you","THEFT","41.8313959,-87.6272312",41.8313959,-87.6272312
"358","burglary","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-07-31 13:10:00,NA,"iitpsd responded to a report of stolen property from the tower.","THEFT","41.8313959,-87.6272312",41.8313959,-87.6272312
"359","damage to property","illinois institute of technology: tower","10 west 35th street",NA,NA,2015-08-02 23:29:00,NA,"iitpsd responded to the tower for a damaged door. thank you","DAMAGE TO PROPERTY","41.8313959,-87.6272312",41.8313959,-87.6272312
"360","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-09-29 22:00:00,NA,"iitpsd responded to keating gym for an injured student thank you","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"361","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-28 10:15:00,NA,"iitpsd transported a student from the health and wellness center to mercy hospital for further evaluation.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"362","robbery : strong-arm hand/fists/feet","illinois institute of technology: off campus location",NA,NA,NA,2015-09-28 22:30:00,NA,"iitpsd took a report of an iit student who victim to an off campus storng-arm robbery.","ROBBERY","NA",NA,NA
"363","alarm","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-28 23:34:00,NA,"iitpsd responded to msv for a fire alarm that appeared to have been a malfunction. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"364","drug/narcotic offense","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-09-25 22:10:00,NA,"iitpsd responded to ssv north for a smell of marijuana.","NARCOTICS","41.8346518,-87.6264893",41.8346518,-87.6264893
"365","liquor law violation","illinois institute of technology: main campus:: state street village","3301 south state",NA,NA,2015-09-26 14:30:00,NA,"iitpsd responded to state street village north for a reported smell of marijuana. no marijuana was discovered but a liquor/smoking violation occurred.","NARCOTICS","41.8346518,-87.6264893",41.8346518,-87.6264893
"366","accident : motor vehicle","illinois institute of technology: main campus: street locations","31st   and  south michigan ave",NA,NA,2015-09-27 16:00:00,NA,"iitpsd responded to 31st and michigan for a car accident. thank you","ACCIDENT","41.8383512,-87.6234639",41.8383512,-87.6234639
"367","assist other agency/department","illinois institute of technology:off campus location","31st  and  south michigan ave",NA,NA,2015-09-24 15:30:00,NA,"iitpsd assisted cpd with a fatal shooting at 31st/michigan. the shooting was non-iit related and did not involve the iit community. thank you","WEAPON","41.8383512,-87.6234639",41.8383512,-87.6234639
"368","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-23 14:10:00,NA,"iitpsd provided a non-emergency medical transport of a student to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"369","robbery : firearm","illinois institute of technology: off campus location",NA,NA,NA,2015-09-23 19:00:00,NA,"iitpsd took a delayed off campus armed robbery report involving iit students.","ROBBERY","NA",NA,NA
"370","disturbance","illinois institute of technology: main campus: 31st street","31st   and  south wabash ave",NA,NA,2015-09-23 22:00:00,NA,"iitpsd responded to 31st/wabash for a disturbance involving an iit student and members of the general public.","DISTURBANCE","41.8383211,-87.6251317",41.8383211,-87.6251317
"371","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-09-23 23:02:00,NA,"elevator car number two placed out of service at kent college of law. thank you","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"372","accident : motor vehicle","illinois institute of technology: main campus: wabash:","31st  and  south wabash ave",NA,NA,2015-09-22 18:00:00,NA,"iitpsd responded to 31st/wabash for a iit student vs vehicle accident.","ACCIDENT","41.8383211,-87.6251317",41.8383211,-87.6251317
"373","trespassing : criminal trespass to land","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-22 23:25:00,NA,"iitpsd responed to msv for a criminal trespassing report of a member of the general public. thank you","TRESPASS","41.8355909,-87.6249574",41.8355909,-87.6249574
"374","alarm","illinois institute of technology","3241 south wabash ave",NA,NA,2015-09-21 11:57:00,NA,"iitpsd responded to mccormick student village for a activated fire alarm due to cooking.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"375","larceny/theft","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-21 14:00:00,NA,"iitpsd responded to the tower for a theft report.","THEFT","41.8313959,-87.6272312",41.8313959,-87.6272312
"376","injured/sick person : emergency medical transport/ambulance ","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-21 16:30:00,NA,"iitpsd responded to the iit tower for an injured general public member.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"377","trespassing","illinois institute of technology: main campus: 34th street","34th   and  south state str",NA,NA,2015-09-21 20:00:00,NA,"iitpsd responded to unauthorized solicitation activity near 34th/state street involving members of the general public. thank you","SEXUAL CRIME","41.8328367,-87.6264468",41.8328367,-87.6264468
"378","larceny/theft : other","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-09-18 08:55:00,NA,"iitpsd took a delayed report regarding a theft from the mccormick tribune campus center.","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"379","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-18 14:30:00,NA,"iitpsd provided a non-emergency medical transport to mercy hospital for a student.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"380","larceny/theft : other","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-09-19 18:00:00,NA,"iitpsd responded to a theft at the stuart soccer field.","THEFT","41.838997,-87.6255751",41.838997,-87.6255751
"381","injured/sick person : report only : general public/visitor","illinois institute of technology: main campus: hermann hall","3241 south federal street",NA,NA,2015-09-19 21:00:00,NA,"iitpsd responded to hermann hall for a slip and fall incident involving a sodexo employee.","MEDICAL INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"382","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-09-20 08:00:00,NA,"iitpsd responded to ssv middle for an injured student. thank you","MEDICAL INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
"383","alarm : smoke","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-09-17 01:45:00,NA,"smoke alarm was activated at gunsaulus hall, on the 4th floor where a student was cooking in her room.","ALARM","41.837081,-87.623923",41.837081,-87.623923
"384","alarm : fire","illinois institute of technology: main campus: perlstein hall","10 west 33rd street",NA,NA,2015-09-17 12:15:00,NA,"iitpsd observed a fire alarm activation at perlstein hall. further inspection proved the alarm was caused by a system malfunction.","ALARM","41.835479,-87.6271529",41.835479,-87.6271529
"385","larceny/theft : other","illinois institute of technology: main campus",NA,NA,NA,2015-09-17 13:24:00,NA,"iitpsd responded to a victim of on line fraud. thank you","THEFT","NA",NA,NA
"386","larceny/theft : other","illinois institute of technology: main campus: farr hall","3300 south michigan ave",NA,NA,2015-09-16 05:15:00,NA,"iitpsd responded to farr hall for a theft report.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"387","disorderly / reckless conduct","illinois institute of technology: main campus: 35th street","35th   and  south state str",NA,NA,2015-09-16 15:30:00,NA,"iitpsd responded to 35th/state st for disorderly/reckless conduct involving members of the general public.","DISTURBANCE","41.8310086,-87.6266135",41.8310086,-87.6266135
"388","suspicious person","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-16 18:30:00,NA,"iitpsd responded to msv for a suspicious person. thank you","SUSPICION","41.8355909,-87.6249574",41.8355909,-87.6249574
"389","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: residential buildings",NA,NA,NA,2015-09-15 10:55:00,NA,"iitpsd provided a non-emergency medical transport to mercy hospital for a student.","MEDICAL INCIDENT","NA",NA,NA
"390","administrative information","illinois institute of technology: main campus","10 west 35th street",NA,NA,2015-09-15 12:18:00,NA,"iitpsd responded to a complaint of smoking in the tower stairwell.","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"391","suspicious person","illinois institute of technology: main campus:: c2 lot","3300 south federal st","41.833314","-87.628832",2015-09-15 16:20:00,NA,"iitpsd took a delayed report of a suspicious person.","SUSPICION","41.8317456,-87.6272461",41.8317456,-87.6272461
"392","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-09-15 21:42:00,NA,"iitpsd responded to an elevator entrapment at kent college of law. thank you","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"393","suspicious activity","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-09-14 12:40:00,NA,"iitpsd responded to mccormick student village for a suspicious activity report.","SUSPICION","41.8355909,-87.6249574",41.8355909,-87.6249574
"394","injured/sick person","illinois institute of technology- tower","10 west 35th street",NA,NA,2015-09-14 14:00:00,NA,"iitpsd responded to iitri tower for a non-emergency medical transport to mercy hospital for a iit student. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"395","larceny/theft : other","illinois institute of technology: main campus:tower","10 west 35th street",NA,NA,2015-09-11 08:30:00,NA,"iitpsd responded to the iit tower for a delayed report of a theft.","THEFT","41.8313959,-87.6272312",41.8313959,-87.6272312
"396","injured/sick person : report only : student","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-09-13 17:00:00,NA,"iitpsd responded to keating gym for an injury to a student.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"397","injured/sick person : report only : student","illinois institute of technology: main campus:: keating sports center","3040 south wabash ave",NA,NA,2015-09-13 20:30:00,NA,"iitpsd responded to keating gym for injury on the basketball court.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"398","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-09-13 23:23:00,NA,"a student wanted to be transported to the hospital, she was complaining of pain in her lower right side of her abdomen area thank you","MEDICAL INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
"399","alarm : fire","illinois institute of technology: main campus: life science","3105 south dearborn street",NA,NA,2015-09-10 00:57:00,NA,"iitpsd responded to life science for a fire alarm","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"400","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus: residential buildings",NA,NA,NA,2015-09-10 13:08:00,NA,"iitpsd responded for a report of an injured student. the student was transported to mercy hospital via the chicago fire department.","MEDICAL INCIDENT","NA",NA,NA
"401","suspicious person","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-10 15:30:00,NA,"iitpsd responded to the tower/3424 for a suspicious person. iitpsd searched both buildings to no avail.","SUSPICION","41.8313959,-87.6272312",41.8313959,-87.6272312
"402","accident : motor vehicle","illinois institute of technology: main campus: street locations: 33rd street","33rd   and  south state str",NA,NA,2015-09-10 15:50:00,NA,"iitpsd responded to a vehicle accident on 33rd / state","ACCIDENT","41.8346697,-87.6264899",41.8346697,-87.6264899
"403","alarm : smoke","illinois institute of technology: main campus:engineering research","55 w 34th street",NA,NA,2015-09-10 18:45:00,NA,"iitpsd responded to erb north for an activate fire alarm due to smoke. (no flame)","ALARM","41.8325021,-87.6287412",41.8325021,-87.6287412
"404","alarm : smoke","illinois institute of technology: main campus:: carmen hall","60 east 32nd street",NA,NA,2015-09-10 20:45:00,NA,"iitpsd responded to carmen hall for an activated smoke alarm. it was found that a student had burned food. (no flame) thank you","ALARM","41.8366771,-87.6246551",41.8366771,-87.6246551
"405","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-09-09 14:45:00,NA,"iitpsd provided a non-emergency medical transport to an iit student to mercy hopital. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"406","disorderly / reckless conduct","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-09-08 19:55:00,NA,"a female was ordered out of the building at kent college of law thank you","DISTURBANCE","41.8791377,-87.6422057",41.8791377,-87.6422057
"407","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: street locations: 31st street",NA,NA,NA,2015-09-04 23:02:00,NA,"while leaving keaton hall, an iit student and acquaintance were crossing 31st st. and were struck by an oncoming vehicle.","ACCIDENT","NA",NA,NA
"408","liquor law violation","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-09-05 00:15:00,NA,"iitpsd was called to assist at msv.","OTHER","41.8355909,-87.6249574",41.8355909,-87.6249574
"409","assist other agency/department","illinois institute of technology: main campus 31st street","31st   and  south federal str",NA,NA,2015-09-05 21:20:00,NA,"iitpsd responded to a call for a stolen vehicle on 31st and federal.","THEFT","41.8382603,-87.6289524",41.8382603,-87.6289524
